# Wall shear stress
# Time        	patch         	min           	max           
1.000000e-02	bottom	(-1.292333e-01 -2.963594e-11 0.000000e+00)	(-1.292333e-01 7.513880e-11 0.000000e+00)
2.000000e-02	bottom	(-5.898493e-03 -4.151145e-12 0.000000e+00)	(-5.898492e-03 5.830056e-12 0.000000e+00)
3.000000e-02	bottom	(-8.657217e-03 -6.678222e-12 0.000000e+00)	(-8.657216e-03 1.096908e-11 0.000000e+00)
4.000000e-02	bottom	(-9.803265e-03 -4.713351e-12 0.000000e+00)	(-9.803264e-03 1.183521e-11 0.000000e+00)
5.000000e-02	bottom	(-1.012404e-02 -1.492894e-10 0.000000e+00)	(-1.012403e-02 1.145903e-10 0.000000e+00)
6.000000e-02	bottom	(-1.011655e-02 -1.545759e-10 0.000000e+00)	(-1.011655e-02 1.633222e-10 0.000000e+00)
7.000000e-02	bottom	(-1.007710e-02 -7.145980e-11 0.000000e+00)	(-1.007710e-02 6.626301e-11 0.000000e+00)
8.000000e-02	bottom	(-1.016371e-02 -1.445700e-10 0.000000e+00)	(-1.016371e-02 8.032724e-11 0.000000e+00)
9.000000e-02	bottom	(-1.045294e-02 -1.699872e-10 0.000000e+00)	(-1.045294e-02 8.189381e-11 0.000000e+00)
1.000000e-01	bottom	(-1.097166e-02 -1.641555e-10 0.000000e+00)	(-1.097166e-02 7.175194e-11 0.000000e+00)
1.100000e-01	bottom	(-1.163944e-02 -1.629173e-10 0.000000e+00)	(-1.163944e-02 6.409256e-11 0.000000e+00)
1.200000e-01	bottom	(-1.227667e-02 -1.483111e-10 0.000000e+00)	(-1.227667e-02 6.856986e-11 0.000000e+00)
1.300000e-01	bottom	(-1.274419e-02 -1.384220e-10 0.000000e+00)	(-1.274419e-02 6.407651e-11 0.000000e+00)
1.400000e-01	bottom	(-1.302156e-02 -1.113371e-10 0.000000e+00)	(-1.302156e-02 5.266752e-11 0.000000e+00)
1.500000e-01	bottom	(-1.314876e-02 -2.092924e-11 0.000000e+00)	(-1.314875e-02 1.622205e-11 0.000000e+00)
1.600000e-01	bottom	(-1.317107e-02 -6.203988e-11 0.000000e+00)	(-1.317107e-02 4.313471e-11 0.000000e+00)
1.700000e-01	bottom	(-1.312642e-02 -4.941264e-11 0.000000e+00)	(-1.312642e-02 3.058451e-11 0.000000e+00)
1.800000e-01	bottom	(-1.304182e-02 -3.162458e-11 0.000000e+00)	(-1.304182e-02 1.691780e-11 0.000000e+00)
