# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottom	1.324287e-02	1.324287e-02	1.324287e-02
0.02          	bottom	2.831519e+01	2.831520e+01	2.831519e+01
0.03          	bottom	4.028762e+01	4.028762e+01	4.028762e+01
0.04          	bottom	4.579294e+01	4.579294e+01	4.579294e+01
0.05          	bottom	4.793971e+01	4.793974e+01	4.793972e+01
0.06          	bottom	4.856933e+01	4.856933e+01	4.856933e+01
0.07          	bottom	4.876420e+01	4.876420e+01	4.876420e+01
0.08          	bottom	4.915106e+01	4.915106e+01	4.915106e+01
0.09          	bottom	5.006743e+01	5.006743e+01	5.006743e+01
0.1           	bottom	5.165241e+01	5.165242e+01	5.165241e+01
0.11          	bottom	5.366099e+01	5.366100e+01	5.366100e+01
0.12          	bottom	5.552485e+01	5.552485e+01	5.552485e+01
0.13          	bottom	5.683678e+01	5.683679e+01	5.683678e+01
0.14          	bottom	5.757367e+01	5.757367e+01	5.757367e+01
0.15          	bottom	5.788451e+01	5.788451e+01	5.788451e+01
0.16          	bottom	5.791776e+01	5.791777e+01	5.791777e+01
0.17          	bottom	5.778792e+01	5.778792e+01	5.778792e+01
0.18          	bottom	5.757079e+01	5.757079e+01	5.757079e+01
0.19          	bottom	5.730935e+01	5.730935e+01	5.730935e+01
0.2           	bottom	5.702777e+01	5.702777e+01	5.702777e+01
0.21          	bottom	5.673980e+01	5.673980e+01	5.673980e+01
0.22          	bottom	5.645226e+01	5.645226e+01	5.645226e+01
0.23          	bottom	5.616828e+01	5.616828e+01	5.616828e+01
0.24          	bottom	5.588948e+01	5.588948e+01	5.588948e+01
0.25          	bottom	5.561655e+01	5.561655e+01	5.561655e+01
0.26          	bottom	5.534948e+01	5.534948e+01	5.534948e+01
0.27          	bottom	5.508803e+01	5.508803e+01	5.508803e+01
0.28          	bottom	5.483196e+01	5.483196e+01	5.483196e+01
0.29          	bottom	5.458095e+01	5.458095e+01	5.458095e+01
0.3           	bottom	5.433461e+01	5.433461e+01	5.433461e+01
0.31          	bottom	5.409257e+01	5.409257e+01	5.409257e+01
0.32          	bottom	5.385451e+01	5.385451e+01	5.385451e+01
0.33          	bottom	5.362012e+01	5.362012e+01	5.362012e+01
0.34          	bottom	5.338909e+01	5.338909e+01	5.338909e+01
0.35          	bottom	5.316114e+01	5.316114e+01	5.316114e+01
0.36          	bottom	5.293601e+01	5.293601e+01	5.293601e+01
0.37          	bottom	5.271347e+01	5.271347e+01	5.271347e+01
0.38          	bottom	5.249329e+01	5.249329e+01	5.249329e+01
0.39          	bottom	5.227527e+01	5.227527e+01	5.227527e+01
0.4           	bottom	5.205920e+01	5.205920e+01	5.205920e+01
0.41          	bottom	5.184491e+01	5.184491e+01	5.184491e+01
0.42          	bottom	5.163224e+01	5.163224e+01	5.163224e+01
0.43          	bottom	5.142101e+01	5.142101e+01	5.142101e+01
0.44          	bottom	5.121110e+01	5.121110e+01	5.121110e+01
0.45          	bottom	5.100235e+01	5.100236e+01	5.100235e+01
0.46          	bottom	5.079466e+01	5.079466e+01	5.079466e+01
0.47          	bottom	5.058789e+01	5.058789e+01	5.058789e+01
0.48          	bottom	5.038193e+01	5.038193e+01	5.038193e+01
0.49          	bottom	5.017667e+01	5.017667e+01	5.017667e+01
0.5           	bottom	4.997203e+01	4.997203e+01	4.997203e+01
0.51          	bottom	4.976789e+01	4.976789e+01	4.976789e+01
0.52          	bottom	4.956419e+01	4.956419e+01	4.956419e+01
0.53          	bottom	4.936082e+01	4.936082e+01	4.936082e+01
0.54          	bottom	4.915771e+01	4.915771e+01	4.915771e+01
0.55          	bottom	4.895479e+01	4.895479e+01	4.895479e+01
0.56          	bottom	4.875199e+01	4.875199e+01	4.875199e+01
0.57          	bottom	4.854924e+01	4.854924e+01	4.854924e+01
0.58          	bottom	4.834647e+01	4.834647e+01	4.834647e+01
0.59          	bottom	4.814364e+01	4.814364e+01	4.814364e+01
0.6           	bottom	4.794068e+01	4.794068e+01	4.794068e+01
0.61          	bottom	4.773754e+01	4.773754e+01	4.773754e+01
0.62          	bottom	4.753418e+01	4.753418e+01	4.753418e+01
0.63          	bottom	4.733053e+01	4.733053e+01	4.733053e+01
0.64          	bottom	4.712656e+01	4.712656e+01	4.712656e+01
0.65          	bottom	4.692224e+01	4.692224e+01	4.692224e+01
0.66          	bottom	4.671750e+01	4.671751e+01	4.671751e+01
0.67          	bottom	4.651232e+01	4.651232e+01	4.651232e+01
0.68          	bottom	4.630666e+01	4.630666e+01	4.630666e+01
0.69          	bottom	4.610048e+01	4.610048e+01	4.610048e+01
0.7           	bottom	4.589375e+01	4.589376e+01	4.589375e+01
0.71          	bottom	4.568645e+01	4.568645e+01	4.568645e+01
0.72          	bottom	4.547854e+01	4.547855e+01	4.547854e+01
0.73          	bottom	4.527000e+01	4.527000e+01	4.527000e+01
0.74          	bottom	4.506080e+01	4.506080e+01	4.506080e+01
0.75          	bottom	4.485091e+01	4.485091e+01	4.485091e+01
0.76          	bottom	4.464031e+01	4.464031e+01	4.464031e+01
0.77          	bottom	4.442898e+01	4.442898e+01	4.442898e+01
