# Wall shear stress
# Time        	patch         	min           	max           
0.01          	bottom	(-6.584501e-02 -1.340559e-11 0.000000e+00)	(-6.584501e-02 2.707522e-11 0.000000e+00)
0.02          	bottom	(-8.338282e-02 -5.121669e-11 0.000000e+00)	(-8.338282e-02 9.792493e-11 0.000000e+00)
0.03          	bottom	(-8.290154e-02 -2.845055e-11 0.000000e+00)	(-8.290154e-02 5.526542e-11 0.000000e+00)
0.04          	bottom	(-5.427301e-02 -4.019589e-09 0.000000e+00)	(-5.427298e-02 6.400321e-09 0.000000e+00)
0.05          	bottom	(-1.786033e-02 -1.805093e-09 0.000000e+00)	(-1.786031e-02 2.936732e-09 0.000000e+00)
0.06          	bottom	(-2.607249e-05 -2.206031e-12 0.000000e+00)	(-2.607247e-05 6.681751e-12 0.000000e+00)
0.07          	bottom	(-3.376526e-05 -6.606727e-13 0.000000e+00)	(-3.376524e-05 1.282205e-12 0.000000e+00)
0.08          	bottom	(-5.200808e-05 -3.170303e-13 0.000000e+00)	(-5.200807e-05 8.103853e-13 0.000000e+00)
0.09          	bottom	(-6.965185e-05 -2.453290e-13 0.000000e+00)	(-6.965185e-05 9.427258e-13 0.000000e+00)
0.1           	bottom	(-8.673521e-05 -3.440366e-13 0.000000e+00)	(-8.673520e-05 9.615203e-13 0.000000e+00)
0.11          	bottom	(-1.032813e-04 -4.807171e-13 0.000000e+00)	(-1.032813e-04 8.474421e-13 0.000000e+00)
0.12          	bottom	(-1.193233e-04 -5.470481e-13 0.000000e+00)	(-1.193233e-04 6.348169e-13 0.000000e+00)
0.13          	bottom	(-1.348969e-04 -6.217468e-13 0.000000e+00)	(-1.348969e-04 3.639357e-13 0.000000e+00)
0.14          	bottom	(-1.500392e-04 -7.552765e-13 0.000000e+00)	(-1.500392e-04 3.094952e-13 0.000000e+00)
0.15          	bottom	(-1.647889e-04 -8.301908e-13 0.000000e+00)	(-1.647889e-04 5.391187e-13 0.000000e+00)
0.16          	bottom	(-1.791888e-04 -9.513968e-13 0.000000e+00)	(-1.791888e-04 7.693882e-13 0.000000e+00)
0.17          	bottom	(-1.932898e-04 -1.140034e-12 0.000000e+00)	(-1.932898e-04 1.013696e-12 0.000000e+00)
0.18          	bottom	(-2.071608e-04 -9.878138e-13 0.000000e+00)	(-2.071608e-04 1.158390e-12 0.000000e+00)
0.19          	bottom	(-2.209083e-04 -8.854077e-13 0.000000e+00)	(-2.209083e-04 1.135597e-12 0.000000e+00)
0.2           	bottom	(-2.347176e-04 -7.174660e-13 0.000000e+00)	(-2.347176e-04 1.047401e-12 0.000000e+00)
0.21          	bottom	(-2.489422e-04 -4.411697e-13 0.000000e+00)	(-2.489422e-04 7.184229e-13 0.000000e+00)
0.22          	bottom	(-2.643003e-04 -1.471525e-12 0.000000e+00)	(-2.643003e-04 6.617441e-13 0.000000e+00)
0.23          	bottom	(-2.823280e-04 -7.233698e-13 0.000000e+00)	(-2.823280e-04 8.988699e-13 0.000000e+00)
0.24          	bottom	(-3.064788e-04 -8.737057e-13 0.000000e+00)	(-3.064788e-04 7.886674e-13 0.000000e+00)
0.25          	bottom	(-3.449859e-04 -1.159535e-12 0.000000e+00)	(-3.449859e-04 4.054727e-13 0.000000e+00)
0.26          	bottom	(-4.094244e-04 -2.355769e-12 0.000000e+00)	(-4.094244e-04 4.500894e-13 0.000000e+00)
0.27          	bottom	(-4.945778e-04 -2.394473e-12 0.000000e+00)	(-4.945778e-04 1.419386e-12 0.000000e+00)
0.28          	bottom	(-8.205099e-04 -2.551091e-12 0.000000e+00)	(-8.205097e-04 3.869552e-12 0.000000e+00)
0.29          	bottom	(-1.486996e-03 -1.691725e-11 0.000000e+00)	(-1.486995e-03 1.010659e-11 0.000000e+00)
0.3           	bottom	(-2.652600e-03 -2.678834e-11 0.000000e+00)	(-2.652600e-03 1.387126e-11 0.000000e+00)
0.31          	bottom	(-4.298021e-03 -5.007166e-11 0.000000e+00)	(-4.298021e-03 2.247658e-11 0.000000e+00)
0.32          	bottom	(-6.168636e-03 -5.593006e-11 0.000000e+00)	(-6.168636e-03 2.583601e-11 0.000000e+00)
0.33          	bottom	(-7.967623e-03 -5.203268e-11 0.000000e+00)	(-7.967623e-03 2.188812e-11 0.000000e+00)
0.34          	bottom	(-9.506670e-03 -3.727956e-11 0.000000e+00)	(-9.506670e-03 1.270494e-11 0.000000e+00)
0.35          	bottom	(-1.072960e-02 -4.047421e-11 0.000000e+00)	(-1.072960e-02 1.666032e-11 0.000000e+00)
0.36          	bottom	(-1.166007e-02 -3.989673e-11 0.000000e+00)	(-1.166007e-02 1.856809e-11 0.000000e+00)
