# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottom	6.741187e-03	6.741187e-03	6.741187e-03
0.02          	bottom	1.181052e-02	1.181053e-02	1.181053e-02
0.03          	bottom	2.068876e-02	2.068876e-02	2.068876e-02
0.04          	bottom	3.623975e-02	3.623978e-02	3.623977e-02
0.05          	bottom	6.347966e-02	6.347974e-02	6.347971e-02
0.06          	bottom	1.111959e-01	1.111962e-01	1.111962e-01
0.07          	bottom	1.801421e-01	1.801424e-01	1.801424e-01
0.08          	bottom	3.008125e-01	3.008131e-01	3.008131e-01
0.09          	bottom	4.690752e-01	4.690764e-01	4.690762e-01
0.1           	bottom	6.802213e-01	6.802231e-01	6.802229e-01
0.11          	bottom	9.298109e-01	9.298134e-01	9.298130e-01
0.12          	bottom	1.213675e+00	1.213678e+00	1.213678e+00
0.13          	bottom	1.527923e+00	1.527928e+00	1.527927e+00
0.14          	bottom	1.868919e+00	1.868924e+00	1.868923e+00
0.15          	bottom	2.233256e+00	2.233262e+00	2.233261e+00
0.16          	bottom	2.617749e+00	2.617756e+00	2.617754e+00
0.17          	bottom	3.019452e+00	3.019460e+00	3.019457e+00
0.18          	bottom	3.435732e+00	3.435738e+00	3.435736e+00
0.19          	bottom	3.864453e+00	3.864457e+00	3.864455e+00
0.2           	bottom	4.304390e+00	4.304394e+00	4.304392e+00
0.21          	bottom	4.756208e+00	4.756210e+00	4.756209e+00
0.22          	bottom	5.224967e+00	5.224969e+00	5.224968e+00
0.23          	bottom	5.727649e+00	5.727651e+00	5.727650e+00
0.24          	bottom	6.320260e+00	6.320261e+00	6.320261e+00
0.25          	bottom	7.215787e+00	7.215788e+00	7.215788e+00
0.26          	bottom	9.068872e+00	9.068872e+00	9.068872e+00
0.27          	bottom	1.219067e+01	1.219067e+01	1.219067e+01
0.28          	bottom	1.694913e+01	1.694913e+01	1.694913e+01
0.29          	bottom	2.404806e+01	2.404806e+01	2.404806e+01
0.3           	bottom	3.360785e+01	3.360785e+01	3.360785e+01
0.31          	bottom	4.406040e+01	4.406040e+01	4.406040e+01
0.32          	bottom	5.376386e+01	5.376386e+01	5.376386e+01
