# Wall shear stress
# Time        	patch         	min           	max           
1.000000e-02	bottomWall	(-2.863937e-02 -3.656760e-10 -4.922873e-23)	(-2.863908e-02 2.745490e-10 6.220188e-23)
2.000000e-02	bottomWall	(-2.405604e-02 -4.582997e-11 -1.030746e-23)	(-2.405598e-02 1.781954e-10 2.737620e-23)
3.000000e-02	bottomWall	(-2.983509e-02 -1.741126e-10 -1.672430e-23)	(-2.983498e-02 7.732052e-11 2.000828e-23)
4.000000e-02	bottomWall	(-2.460240e-02 -2.661790e-11 -1.105990e-23)	(-2.460236e-02 6.853131e-11 8.867542e-24)
5.000000e-02	bottomWall	(-2.341065e-02 -2.206521e-11 -3.173366e-24)	(-2.341063e-02 3.255597e-11 2.883450e-24)
6.000000e-02	bottomWall	(-2.190046e-02 -7.970816e-12 -2.910694e-24)	(-2.190044e-02 2.842481e-11 3.253584e-24)
7.000000e-02	bottomWall	(-2.086900e-02 -7.770784e-12 -1.604929e-24)	(-2.086900e-02 2.098780e-11 2.312583e-24)
8.000000e-02	bottomWall	(-1.998430e-02 -4.566785e-12 -1.528567e-24)	(-1.998429e-02 1.731441e-11 2.000855e-24)
9.000000e-02	bottomWall	(-1.925216e-02 -3.834190e-12 -1.245192e-24)	(-1.925216e-02 1.449659e-11 1.700565e-24)
1.000000e-01	bottomWall	(-1.862228e-02 -2.901348e-12 -1.112722e-24)	(-1.862227e-02 1.248138e-11 1.489468e-24)
1.100000e-01	bottomWall	(-1.807454e-02 -2.328728e-12 -9.389123e-25)	(-1.807454e-02 1.052339e-11 1.268834e-24)
1.200000e-01	bottomWall	(-1.759098e-02 -1.948881e-12 -8.238185e-25)	(-1.759098e-02 9.085519e-12 1.110787e-24)
1.300000e-01	bottomWall	(-1.715936e-02 -1.644801e-12 -7.299418e-25)	(-1.715936e-02 7.934373e-12 9.816916e-25)
1.400000e-01	bottomWall	(-1.677025e-02 -1.401215e-12 -6.524686e-25)	(-1.677025e-02 6.984887e-12 8.731350e-25)
1.500000e-01	bottomWall	(-1.641644e-02 -1.264408e-12 -5.886918e-25)	(-1.641643e-02 6.192655e-12 7.827012e-25)
1.600000e-01	bottomWall	(-1.609228e-02 -1.278864e-12 -5.373967e-25)	(-1.609228e-02 5.541536e-12 7.076146e-25)
1.700000e-01	bottomWall	(-1.579330e-02 -1.270162e-12 -4.953012e-25)	(-1.579330e-02 5.018569e-12 6.472372e-25)
1.800000e-01	bottomWall	(-1.551588e-02 -1.255636e-12 -4.559646e-25)	(-1.551588e-02 4.566188e-12 5.938424e-25)
1.900000e-01	bottomWall	(-1.525706e-02 -1.244499e-12 -4.206436e-25)	(-1.525706e-02 4.145048e-12 5.433145e-25)
2.000000e-01	bottomWall	(-1.501443e-02 -1.252802e-12 -3.951722e-25)	(-1.501443e-02 3.806037e-12 5.027161e-25)
2.100000e-01	bottomWall	(-1.478595e-02 -1.230479e-12 -3.713160e-25)	(-1.478595e-02 3.545145e-12 4.692793e-25)
2.200000e-01	bottomWall	(-1.456992e-02 -1.222523e-12 -3.467146e-25)	(-1.456992e-02 3.253938e-12 3.969854e-25)
2.300000e-01	bottomWall	(-1.436491e-02 -1.222035e-12 -3.323055e-25)	(-1.436490e-02 3.068924e-12 3.676911e-25)
2.400000e-01	bottomWall	(-1.416968e-02 -1.198213e-12 -3.123410e-25)	(-1.416968e-02 2.866683e-12 3.359840e-25)
2.500000e-01	bottomWall	(-1.398319e-02 -1.186500e-12 -3.009082e-25)	(-1.398318e-02 2.710627e-12 2.919079e-25)
2.600000e-01	bottomWall	(-1.380451e-02 -1.149156e-12 -2.871268e-25)	(-1.380451e-02 2.569572e-12 2.492131e-25)
2.700000e-01	bottomWall	(-1.363288e-02 -1.044422e-12 -2.813237e-25)	(-1.363288e-02 2.460296e-12 2.477887e-25)
2.800000e-01	bottomWall	(-1.346758e-02 -9.328889e-13 -2.729528e-25)	(-1.346758e-02 2.388342e-12 2.453891e-25)
2.900000e-01	bottomWall	(-1.330802e-02 -1.340013e-12 -2.534043e-25)	(-1.330802e-02 2.144972e-12 1.874274e-25)
3.000000e-01	bottomWall	(-1.315367e-02 -1.726257e-12 -2.274156e-25)	(-1.315367e-02 1.848657e-12 2.449216e-25)
3.100000e-01	bottomWall	(-1.300405e-02 -1.486809e-12 -2.209507e-25)	(-1.300405e-02 1.830408e-12 2.090926e-25)
3.200000e-01	bottomWall	(-1.285874e-02 -1.411848e-12 -2.148241e-25)	(-1.285874e-02 1.766213e-12 2.006826e-25)
3.300000e-01	bottomWall	(-1.271738e-02 -1.384616e-12 -2.134631e-25)	(-1.271738e-02 1.734187e-12 1.982687e-25)
3.400000e-01	bottomWall	(-1.257962e-02 -1.377174e-12 -2.066443e-25)	(-1.257962e-02 1.649958e-12 1.978768e-25)
3.500000e-01	bottomWall	(-1.244517e-02 -1.355452e-12 -2.006007e-25)	(-1.244517e-02 1.593957e-12 1.953686e-25)
3.600000e-01	bottomWall	(-1.231376e-02 -1.358006e-12 -1.977495e-25)	(-1.231376e-02 1.548800e-12 1.929039e-25)
3.700000e-01	bottomWall	(-1.218515e-02 -1.354638e-12 -1.911842e-25)	(-1.218515e-02 1.473415e-12 1.901364e-25)
3.800000e-01	bottomWall	(-1.205912e-02 -1.341500e-12 -1.876025e-25)	(-1.205912e-02 1.441950e-12 1.875091e-25)
3.900000e-01	bottomWall	(-1.193547e-02 -1.354600e-12 -1.846656e-25)	(-1.193547e-02 1.392307e-12 1.884973e-25)
4.000000e-01	bottomWall	(-1.181401e-02 -1.350966e-12 -1.791487e-25)	(-1.181401e-02 1.327380e-12 1.868738e-25)
4.100000e-01	bottomWall	(-1.169460e-02 -1.341498e-12 -1.764542e-25)	(-1.169460e-02 1.301844e-12 1.851026e-25)
4.200000e-01	bottomWall	(-1.157707e-02 -1.355754e-12 -1.741833e-25)	(-1.157707e-02 1.262079e-12 1.873122e-25)
4.300000e-01	bottomWall	(-1.146129e-02 -1.357312e-12 -1.696836e-25)	(-1.146129e-02 1.205847e-12 1.868849e-25)
4.400000e-01	bottomWall	(-1.134714e-02 -1.346632e-12 -1.668505e-25)	(-1.134714e-02 1.180310e-12 1.852108e-25)
4.500000e-01	bottomWall	(-1.123449e-02 -1.358950e-12 -1.655188e-25)	(-1.123449e-02 1.154723e-12 1.873437e-25)
4.600000e-01	bottomWall	(-1.112326e-02 -1.386070e-12 -1.621989e-25)	(-1.112326e-02 1.118565e-12 1.884856e-25)
4.700000e-01	bottomWall	(-1.101334e-02 -1.360322e-12 -1.587243e-25)	(-1.101334e-02 1.091030e-12 1.869027e-25)
4.800000e-01	bottomWall	(-1.090464e-02 -1.363266e-12 -1.577943e-25)	(-1.090464e-02 1.080332e-12 1.873905e-25)
4.900000e-01	bottomWall	(-1.079708e-02 -1.381147e-12 -1.552994e-25)	(-1.079708e-02 1.063368e-12 1.891228e-25)
5.000000e-01	bottomWall	(-1.069059e-02 -1.392282e-12 -1.512428e-25)	(-1.069059e-02 1.032139e-12 1.878687e-25)
5.100000e-01	bottomWall	(-1.058510e-02 -1.391199e-12 -1.487045e-25)	(-1.058510e-02 1.011326e-12 1.862506e-25)
5.200000e-01	bottomWall	(-1.048054e-02 -1.433877e-12 -1.480716e-25)	(-1.048054e-02 1.003259e-12 1.886302e-25)
5.300000e-01	bottomWall	(-1.037686e-02 -1.458587e-12 -1.460875e-25)	(-1.037686e-02 9.870127e-13 1.913636e-25)
5.400000e-01	bottomWall	(-1.027400e-02 -1.445892e-12 -1.438451e-25)	(-1.027400e-02 9.659641e-13 1.932184e-25)
5.500000e-01	bottomWall	(-1.017191e-02 -1.496725e-12 -1.414483e-25)	(-1.017191e-02 9.463561e-13 1.919539e-25)
5.600000e-01	bottomWall	(-1.007055e-02 -1.484714e-12 -1.397432e-25)	(-1.007055e-02 9.314512e-13 1.916528e-25)
5.700000e-01	bottomWall	(-9.969869e-03 -1.505262e-12 -1.358204e-25)	(-9.969868e-03 9.024147e-13 1.907692e-25)
5.800000e-01	bottomWall	(-9.869833e-03 -1.585793e-12 -1.295996e-25)	(-9.869832e-03 8.590455e-13 1.874397e-25)
5.900000e-01	bottomWall	(-9.770404e-03 -1.562936e-12 -1.213512e-25)	(-9.770403e-03 8.015101e-13 1.780406e-25)
6.000000e-01	bottomWall	(-9.671549e-03 -1.528671e-12 -1.305781e-25)	(-9.671548e-03 8.626259e-13 2.306664e-25)
6.100000e-01	bottomWall	(-9.573235e-03 -1.493374e-12 -1.468222e-25)	(-9.573235e-03 9.598558e-13 1.940654e-25)
6.200000e-01	bottomWall	(-9.475436e-03 -1.548766e-12 -1.381638e-25)	(-9.475435e-03 9.034661e-13 2.136789e-25)
6.300000e-01	bottomWall	(-9.378124e-03 -1.597265e-12 -1.357210e-25)	(-9.378123e-03 8.838177e-13 2.130177e-25)
6.400000e-01	bottomWall	(-9.281274e-03 -1.530909e-12 -1.331279e-25)	(-9.281274e-03 8.644693e-13 2.114015e-25)
6.500000e-01	bottomWall	(-9.184865e-03 -1.540462e-12 -1.351736e-25)	(-9.184864e-03 8.533152e-13 2.140294e-25)
6.600000e-01	bottomWall	(-9.088875e-03 -1.615076e-12 -1.387233e-25)	(-9.088874e-03 8.388477e-13 2.176060e-25)
6.700000e-01	bottomWall	(-8.993285e-03 -1.660805e-12 -1.423979e-25)	(-8.993285e-03 8.219114e-13 2.193769e-25)
6.800000e-01	bottomWall	(-8.898079e-03 -1.600675e-12 -1.530675e-25)	(-8.898078e-03 8.043959e-13 2.189387e-25)
6.900000e-01	bottomWall	(-8.803239e-03 -1.627428e-12 -1.513038e-25)	(-8.803239e-03 7.912751e-13 2.186004e-25)
7.000000e-01	bottomWall	(-8.708752e-03 -1.614973e-12 -1.620859e-25)	(-8.708751e-03 7.834242e-13 2.214035e-25)
7.100000e-01	bottomWall	(-8.614604e-03 -1.626593e-12 -1.646813e-25)	(-8.614603e-03 7.722479e-13 2.250329e-25)
7.200000e-01	bottomWall	(-8.520783e-03 -1.665400e-12 -1.736169e-25)	(-8.520782e-03 7.586551e-13 2.276098e-25)
7.300000e-01	bottomWall	(-8.427278e-03 -1.685453e-12 -1.791386e-25)	(-8.427277e-03 7.429441e-13 2.278773e-25)
