# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	3.418374e-01	3.418391e-01	3.418383e-01
0.02          	bottomWall	3.132936e-01	3.132940e-01	3.132938e-01
0.03          	bottomWall	3.489016e-01	3.489022e-01	3.489019e-01
0.04          	bottomWall	3.168316e-01	3.168318e-01	3.168317e-01
0.05          	bottomWall	3.090627e-01	3.090628e-01	3.090628e-01
0.06          	bottomWall	2.989279e-01	2.989280e-01	2.989280e-01
0.07          	bottomWall	2.918037e-01	2.918038e-01	2.918037e-01
0.08          	bottomWall	2.855515e-01	2.855515e-01	2.855515e-01
0.09          	bottomWall	2.802720e-01	2.802721e-01	2.802721e-01
0.1           	bottomWall	2.756490e-01	2.756490e-01	2.756490e-01
0.11          	bottomWall	2.715649e-01	2.715650e-01	2.715649e-01
0.12          	bottomWall	2.679076e-01	2.679076e-01	2.679076e-01
0.13          	bottomWall	2.646005e-01	2.646005e-01	2.646005e-01
0.14          	bottomWall	2.615832e-01	2.615832e-01	2.615832e-01
0.15          	bottomWall	2.588091e-01	2.588091e-01	2.588091e-01
0.16          	bottomWall	2.562411e-01	2.562412e-01	2.562412e-01
0.17          	bottomWall	2.538496e-01	2.538496e-01	2.538496e-01
0.18          	bottomWall	2.516102e-01	2.516102e-01	2.516102e-01
0.19          	bottomWall	2.495029e-01	2.495029e-01	2.495029e-01
0.2           	bottomWall	2.475110e-01	2.475110e-01	2.475110e-01
0.21          	bottomWall	2.456205e-01	2.456205e-01	2.456205e-01
0.22          	bottomWall	2.438196e-01	2.438196e-01	2.438196e-01
0.23          	bottomWall	2.420981e-01	2.420981e-01	2.420981e-01
0.24          	bottomWall	2.404474e-01	2.404474e-01	2.404474e-01
0.25          	bottomWall	2.388598e-01	2.388598e-01	2.388598e-01
0.26          	bottomWall	2.373289e-01	2.373289e-01	2.373289e-01
0.27          	bottomWall	2.358489e-01	2.358489e-01	2.358489e-01
0.28          	bottomWall	2.344147e-01	2.344147e-01	2.344147e-01
0.29          	bottomWall	2.330219e-01	2.330220e-01	2.330219e-01
0.3           	bottomWall	2.316667e-01	2.316667e-01	2.316667e-01
0.31          	bottomWall	2.303453e-01	2.303453e-01	2.303453e-01
0.32          	bottomWall	2.290548e-01	2.290548e-01	2.290548e-01
0.33          	bottomWall	2.277922e-01	2.277922e-01	2.277922e-01
0.34          	bottomWall	2.265551e-01	2.265551e-01	2.265551e-01
0.35          	bottomWall	2.253411e-01	2.253412e-01	2.253412e-01
0.36          	bottomWall	2.241483e-01	2.241483e-01	2.241483e-01
0.37          	bottomWall	2.229747e-01	2.229747e-01	2.229747e-01
0.38          	bottomWall	2.218185e-01	2.218185e-01	2.218185e-01
0.39          	bottomWall	2.206784e-01	2.206784e-01	2.206784e-01
0.4           	bottomWall	2.195527e-01	2.195527e-01	2.195527e-01
0.41          	bottomWall	2.184403e-01	2.184403e-01	2.184403e-01
