# Wall shear stress
# Time        	patch         	min           	max           
1.000000e-02	bottomWall	(-1.341049e-03 -6.273482e-14 -1.158326e-27)	(-1.341049e-03 9.902911e-14 3.687770e-27)
2.000000e-02	bottomWall	(-9.291390e-04 -3.792636e-14 -2.382874e-27)	(-9.291390e-04 6.133181e-14 4.152139e-27)
3.000000e-02	bottomWall	(-1.212087e-03 -1.232225e-13 -2.239300e-31)	(-1.212087e-03 1.556235e-13 5.785308e-31)
4.000000e-02	bottomWall	(-1.286531e-03 -8.889309e-14 -1.917850e-28)	(-1.286531e-03 1.029948e-13 2.711550e-28)
5.000000e-02	bottomWall	(-1.312006e-03 -5.825909e-14 -3.322588e-28)	(-1.312006e-03 8.185462e-14 5.706368e-28)
6.000000e-02	bottomWall	(-1.320309e-03 -7.658840e-14 -6.646529e-28)	(-1.320309e-03 6.364033e-14 7.368630e-28)
7.000000e-02	bottomWall	(-1.319692e-03 -6.944178e-14 -9.330062e-28)	(-1.319692e-03 5.441492e-14 7.968477e-28)
8.000000e-02	bottomWall	(-1.313860e-03 -5.890346e-14 -9.515726e-28)	(-1.313860e-03 3.964888e-14 7.442822e-28)
9.000000e-02	bottomWall	(-1.304815e-03 -5.511617e-14 -9.959228e-28)	(-1.304815e-03 4.401361e-14 7.500665e-28)
1.000000e-01	bottomWall	(-1.293749e-03 -4.098259e-14 -7.405581e-28)	(-1.293749e-03 4.181677e-14 5.875607e-28)
1.100000e-01	bottomWall	(-1.281412e-03 -3.641204e-14 -5.395245e-28)	(-1.281412e-03 3.600413e-14 1.612463e-28)
1.200000e-01	bottomWall	(-1.268291e-03 -2.866009e-14 -4.496869e-28)	(-1.268291e-03 2.939449e-14 3.288160e-29)
1.300000e-01	bottomWall	(-1.254707e-03 -2.440983e-14 -3.687207e-28)	(-1.254707e-03 2.354337e-14 1.254591e-28)
1.400000e-01	bottomWall	(-1.240874e-03 -2.006111e-14 -2.998869e-28)	(-1.240874e-03 1.878408e-14 3.783030e-28)
1.500000e-01	bottomWall	(-1.226933e-03 -1.661593e-14 -2.464652e-28)	(-1.226933e-03 1.519311e-14 5.368831e-28)
1.600000e-01	bottomWall	(-1.212976e-03 -1.404038e-14 -2.068958e-28)	(-1.212976e-03 1.258294e-14 4.608084e-28)
1.700000e-01	bottomWall	(-1.199064e-03 -1.149009e-14 -1.780427e-28)	(-1.199064e-03 1.070339e-14 2.798690e-28)
1.800000e-01	bottomWall	(-1.185233e-03 -9.906756e-15 -1.567033e-28)	(-1.185233e-03 9.325730e-15 7.452571e-29)
1.900000e-01	bottomWall	(-1.171505e-03 -7.922989e-15 -1.401528e-28)	(-1.171505e-03 8.267122e-15 7.202783e-29)
2.000000e-01	bottomWall	(-1.157890e-03 -6.903973e-15 -1.266944e-28)	(-1.157890e-03 7.414648e-15 5.931945e-29)
2.100000e-01	bottomWall	(-1.144391e-03 -5.382353e-15 -1.153214e-28)	(-1.144391e-03 6.701587e-15 5.412911e-29)
2.200000e-01	bottomWall	(-1.131006e-03 -4.693721e-15 -1.132372e-28)	(-1.131006e-03 6.086446e-15 4.788333e-29)
2.300000e-01	bottomWall	(-1.117732e-03 -3.568550e-15 -1.100774e-28)	(-1.117732e-03 5.544050e-15 6.125920e-29)
2.400000e-01	bottomWall	(-1.104559e-03 -3.077321e-15 -1.064509e-28)	(-1.104559e-03 5.059464e-15 5.311945e-29)
2.500000e-01	bottomWall	(-1.091482e-03 -2.550475e-15 -1.026910e-28)	(-1.091482e-03 4.623970e-15 3.375166e-29)
2.600000e-01	bottomWall	(-1.078489e-03 -2.177731e-15 -9.736941e-29)	(-1.078489e-03 4.231523e-15 5.074260e-29)
2.700000e-01	bottomWall	(-1.065573e-03 -1.979578e-15 -8.904722e-29)	(-1.065573e-03 3.877062e-15 7.727898e-29)
2.800000e-01	bottomWall	(-1.052723e-03 -1.962533e-15 -8.143235e-29)	(-1.052723e-03 3.556850e-15 7.210499e-29)
2.900000e-01	bottomWall	(-1.039932e-03 -1.945059e-15 -7.446896e-29)	(-1.039932e-03 3.267805e-15 5.363379e-29)
3.000000e-01	bottomWall	(-1.027190e-03 -1.926908e-15 -6.809786e-29)	(-1.027190e-03 3.007280e-15 2.621854e-29)
3.100000e-01	bottomWall	(-1.014490e-03 -1.908261e-15 -6.228081e-29)	(-1.014490e-03 2.772151e-15 2.696921e-29)
3.200000e-01	bottomWall	(-1.001824e-03 -1.889066e-15 -5.696467e-29)	(-1.001824e-03 2.559470e-15 2.881262e-29)
3.300000e-01	bottomWall	(-9.891844e-04 -1.869509e-15 -5.211084e-29)	(-9.891844e-04 2.367273e-15 2.808100e-29)
3.400000e-01	bottomWall	(-9.765655e-04 -1.849473e-15 -4.767829e-29)	(-9.765655e-04 2.193475e-15 3.111478e-29)
3.500000e-01	bottomWall	(-9.639609e-04 -1.829051e-15 -4.362670e-29)	(-9.639609e-04 2.036220e-15 3.026858e-29)
3.600000e-01	bottomWall	(-9.513652e-04 -1.808184e-15 -3.990979e-29)	(-9.513652e-04 1.894093e-15 2.967617e-29)
