# Wall shear stress
# Time        	patch         	min           	max           
1.000000e-02	bottomWall	(-9.996177e-04 -6.699910e-17 -2.068602e-33)	(-9.996177e-04 6.602391e-17 1.031643e-32)
2.000000e-02	bottomWall	(-6.980015e-04 -2.171188e-17 -8.226759e-34)	(-6.980015e-04 2.043306e-17 4.125223e-33)
3.000000e-02	bottomWall	(-8.318922e-04 -3.357362e-17 -2.964991e-33)	(-8.318922e-04 2.438338e-17 2.002350e-33)
4.000000e-02	bottomWall	(-8.778643e-04 -2.908991e-16 -2.342786e-33)	(-8.778643e-04 3.102544e-16 3.935291e-33)
5.000000e-02	bottomWall	(-8.852187e-04 -5.754963e-16 -2.004141e-33)	(-8.852187e-04 5.889653e-16 8.501919e-33)
6.000000e-02	bottomWall	(-8.839860e-04 -7.640350e-16 -4.960498e-33)	(-8.839860e-04 7.676425e-16 1.305763e-32)
7.000000e-02	bottomWall	(-8.785712e-04 -8.966378e-16 -8.268653e-33)	(-8.785712e-04 8.909213e-16 1.710493e-32)
8.000000e-02	bottomWall	(-8.708270e-04 -9.922411e-16 -1.110675e-32)	(-8.708270e-04 9.860050e-16 2.099269e-32)
9.000000e-02	bottomWall	(-8.617218e-04 -1.061803e-15 -1.350379e-32)	(-8.617218e-04 1.059850e-15 2.467751e-32)
1.000000e-01	bottomWall	(-8.518105e-04 -1.114453e-15 -1.550563e-32)	(-8.518105e-04 1.114886e-15 2.858383e-32)
1.100000e-01	bottomWall	(-8.414260e-04 -1.153610e-15 -1.721226e-32)	(-8.414260e-04 1.155769e-15 3.226720e-32)
1.200000e-01	bottomWall	(-8.307722e-04 -1.183859e-15 -1.864515e-32)	(-8.307722e-04 1.185686e-15 3.562329e-32)
1.300000e-01	bottomWall	(-8.199747e-04 -1.206079e-15 -1.987568e-32)	(-8.199747e-04 1.207868e-15 3.862728e-32)
1.400000e-01	bottomWall	(-8.091103e-04 -1.223679e-15 -2.088621e-32)	(-8.091103e-04 1.223507e-15 4.130718e-32)
1.500000e-01	bottomWall	(-7.982244e-04 -1.236075e-15 -2.165690e-32)	(-7.982244e-04 1.234262e-15 4.331804e-32)
1.600000e-01	bottomWall	(-7.873425e-04 -1.243863e-15 -2.220184e-32)	(-7.873425e-04 1.241388e-15 4.477851e-32)
1.700000e-01	bottomWall	(-7.764770e-04 -1.248647e-15 -2.263080e-32)	(-7.764770e-04 1.245060e-15 4.583952e-32)
1.800000e-01	bottomWall	(-7.656321e-04 -1.249521e-15 -2.295375e-32)	(-7.656321e-04 1.246129e-15 4.684502e-32)
1.900000e-01	bottomWall	(-7.548067e-04 -1.248715e-15 -2.320660e-32)	(-7.548067e-04 1.245191e-15 4.746896e-32)
2.000000e-01	bottomWall	(-7.439963e-04 -1.246246e-15 -2.333283e-32)	(-7.439963e-04 1.242164e-15 4.792082e-32)
2.100000e-01	bottomWall	(-7.331948e-04 -1.241402e-15 -2.400175e-32)	(-7.331948e-04 1.237410e-15 4.826092e-32)
2.200000e-01	bottomWall	(-7.223949e-04 -1.235405e-15 -2.524891e-32)	(-7.223949e-04 1.231022e-15 4.845948e-32)
2.300000e-01	bottomWall	(-7.115891e-04 -1.226861e-15 -3.035213e-32)	(-7.115891e-04 1.223165e-15 4.852612e-32)
2.400000e-01	bottomWall	(-7.007698e-04 -1.217437e-15 -3.448315e-32)	(-7.007698e-04 1.213768e-15 4.840265e-32)
2.500000e-01	bottomWall	(-6.899297e-04 -1.206295e-15 -3.691417e-32)	(-6.899297e-04 1.204054e-15 4.844776e-32)
2.600000e-01	bottomWall	(-6.790620e-04 -1.194128e-15 -4.496107e-32)	(-6.790620e-04 1.193153e-15 4.832743e-32)
2.700000e-01	bottomWall	(-6.681606e-04 -1.180742e-15 -4.645696e-32)	(-6.681606e-04 1.181874e-15 4.818899e-32)
2.800000e-01	bottomWall	(-6.572197e-04 -1.167211e-15 -4.595282e-32)	(-6.572197e-04 1.169477e-15 4.783564e-32)
2.900000e-01	bottomWall	(-6.462343e-04 -1.152892e-15 -5.166246e-32)	(-6.462343e-04 1.155992e-15 4.756889e-32)
3.000000e-01	bottomWall	(-6.352000e-04 -1.137592e-15 -5.386048e-32)	(-6.352000e-04 1.142006e-15 4.720255e-32)
3.100000e-01	bottomWall	(-6.241132e-04 -1.122690e-15 -5.651428e-32)	(-6.241132e-04 1.127252e-15 4.682698e-32)
3.200000e-01	bottomWall	(-6.129706e-04 -1.107135e-15 -5.673450e-32)	(-6.129706e-04 1.111927e-15 4.637220e-32)
3.300000e-01	bottomWall	(-6.017697e-04 -1.090947e-15 -5.716217e-32)	(-6.017697e-04 1.096114e-15 4.583671e-32)
3.400000e-01	bottomWall	(-5.905086e-04 -1.073529e-15 -3.318651e-32)	(-5.905086e-04 1.080267e-15 4.568822e-32)
3.500000e-01	bottomWall	(-5.791856e-04 -1.056139e-15 -5.319541e-32)	(-5.791856e-04 1.063535e-15 4.733552e-32)
3.600000e-01	bottomWall	(-5.678000e-04 -1.038831e-15 -2.537793e-32)	(-5.678000e-04 1.045378e-15 4.467201e-32)
3.700000e-01	bottomWall	(-5.563511e-04 -1.020947e-15 -5.203404e-32)	(-5.563511e-04 1.026997e-15 4.398327e-32)
3.800000e-01	bottomWall	(-5.448389e-04 -1.002056e-15 -3.643996e-32)	(-5.448389e-04 1.008627e-15 4.342220e-32)
3.900000e-01	bottomWall	(-5.332638e-04 -9.828107e-16 -6.250057e-32)	(-5.332638e-04 9.896475e-16 4.278360e-32)
4.000000e-01	bottomWall	(-5.216266e-04 -9.626754e-16 -2.006075e-32)	(-5.216266e-04 9.713230e-16 5.747691e-32)
4.100000e-01	bottomWall	(-5.099283e-04 -9.433293e-16 -3.029212e-32)	(-5.099283e-04 9.508242e-16 4.143407e-32)
4.200000e-01	bottomWall	(-4.981705e-04 -9.234307e-16 -5.799571e-32)	(-4.981705e-04 9.301640e-16 4.048583e-32)
4.300000e-01	bottomWall	(-4.863549e-04 -1.219222e-15 -1.864842e-32)	(-4.863549e-04 9.165598e-16 1.711197e-31)
4.400000e-01	bottomWall	(-4.744837e-04 -8.815026e-16 -1.849211e-32)	(-4.744837e-04 8.902171e-16 4.545643e-32)
4.500000e-01	bottomWall	(-4.625592e-04 -8.589417e-16 -1.783967e-32)	(-4.625592e-04 8.743656e-16 9.471917e-32)
4.600000e-01	bottomWall	(-4.505841e-04 -2.204297e-15 -2.361804e-32)	(-4.505841e-04 2.047001e-15 3.081248e-31)
4.700000e-01	bottomWall	(-4.385614e-04 -1.326881e-15 -1.856674e-32)	(-4.385614e-04 1.598561e-15 2.207988e-31)
4.800000e-01	bottomWall	(-4.264942e-04 -7.937297e-16 -1.645300e-32)	(-4.264942e-04 8.104163e-16 8.970550e-32)
4.900000e-01	bottomWall	(-4.143857e-04 -7.704531e-16 -1.710640e-32)	(-4.143857e-04 1.117997e-15 1.547031e-31)
5.000000e-01	bottomWall	(-4.022397e-04 -2.138676e-15 -3.046427e-32)	(-4.022397e-04 1.749208e-15 2.536329e-31)
5.100000e-01	bottomWall	(-3.900599e-04 -7.249119e-16 -1.874478e-32)	(-3.900599e-04 1.196315e-15 1.599640e-31)
5.200000e-01	bottomWall	(-3.778502e-04 -5.690122e-15 -6.459135e-32)	(-3.778502e-04 5.414937e-15 7.547294e-31)
5.300000e-01	bottomWall	(-3.656147e-04 -3.657043e-15 -5.047504e-32)	(-3.656147e-04 4.372275e-15 6.052053e-31)
5.400000e-01	bottomWall	(-3.533578e-04 -2.040221e-15 -3.096033e-32)	(-3.533578e-04 2.775178e-15 3.852279e-31)
5.500000e-01	bottomWall	(-3.410837e-04 -3.831502e-15 -6.058529e-32)	(-3.410837e-04 5.071814e-15 7.044829e-31)
5.600000e-01	bottomWall	(-3.287971e-04 -1.106079e-15 -4.404394e-32)	(-3.287971e-04 2.085146e-15 2.540515e-31)
5.700000e-01	bottomWall	(-3.165025e-04 -2.795841e-15 -4.986485e-32)	(-3.165025e-04 4.133156e-15 5.090229e-31)
5.800000e-01	bottomWall	(-3.042047e-04 -3.776853e-15 -5.704807e-32)	(-3.042047e-04 5.240502e-15 7.146273e-31)
5.900000e-01	bottomWall	(-2.919085e-04 -1.398164e-14 -1.490314e-31)	(-2.919085e-04 1.495095e-14 2.060406e-30)
6.000000e-01	bottomWall	(-2.796189e-04 -2.112487e-14 -2.215245e-31)	(-2.796189e-04 2.372999e-14 3.201061e-30)
6.100000e-01	bottomWall	(-2.673407e-04 -4.401768e-14 -3.975131e-31)	(-2.673407e-04 4.705341e-14 6.456303e-30)
6.200000e-01	bottomWall	(-2.550791e-04 -7.233108e-14 -6.227420e-31)	(-2.550791e-04 7.522729e-14 1.022187e-29)
6.300000e-01	bottomWall	(-2.428389e-04 -9.753216e-14 -8.758058e-31)	(-2.428389e-04 1.086474e-13 1.485361e-29)
6.400000e-01	bottomWall	(-2.306253e-04 -1.130886e-13 -1.053949e-30)	(-2.306253e-04 1.295587e-13 1.774251e-29)
6.500000e-01	bottomWall	(-2.184433e-04 -1.225781e-13 -1.165027e-30)	(-2.184433e-04 1.410172e-13 1.931815e-29)
6.600000e-01	bottomWall	(-2.062978e-04 -1.271317e-13 -1.179317e-30)	(-2.062978e-04 1.479365e-13 2.026367e-29)
6.700000e-01	bottomWall	(-1.941940e-04 -1.287285e-13 -1.158404e-30)	(-1.941940e-04 1.521092e-13 2.082821e-29)
6.800000e-01	bottomWall	(-1.821366e-04 -1.284887e-13 -1.139107e-30)	(-1.821366e-04 1.544330e-13 2.113651e-29)
6.900000e-01	bottomWall	(-1.701305e-04 -1.270947e-13 -1.128366e-30)	(-1.701305e-04 1.554507e-13 2.126406e-29)
7.000000e-01	bottomWall	(-1.581803e-04 -1.249828e-13 -1.112054e-30)	(-1.581803e-04 1.555232e-13 2.126117e-29)
7.100000e-01	bottomWall	(-1.462906e-04 -1.224501e-13 -1.091891e-30)	(-1.462906e-04 1.548986e-13 2.116259e-29)
7.200000e-01	bottomWall	(-1.344658e-04 -1.197059e-13 -1.076377e-30)	(-1.344658e-04 1.537535e-13 2.099310e-29)
7.300000e-01	bottomWall	(-1.227100e-04 -1.168887e-13 -1.072415e-30)	(-1.227099e-04 1.522232e-13 2.077181e-29)
7.400000e-01	bottomWall	(-1.110269e-04 -1.140856e-13 -1.088865e-30)	(-1.110269e-04 1.504092e-13 2.051320e-29)
7.500000e-01	bottomWall	(-9.942033e-05 -1.113569e-13 -1.115550e-30)	(-9.942032e-05 1.483937e-13 2.022908e-29)
7.600000e-01	bottomWall	(-8.789328e-05 -1.087449e-13 -1.391071e-30)	(-8.789327e-05 1.462436e-13 1.992917e-29)
7.700000e-01	bottomWall	(-7.644856e-05 -1.062821e-13 -1.780519e-30)	(-7.644855e-05 1.440234e-13 1.962301e-29)
7.800000e-01	bottomWall	(-6.508837e-05 -1.039952e-13 -2.103946e-30)	(-6.508836e-05 1.417902e-13 1.931925e-29)
7.900000e-01	bottomWall	(-5.381430e-05 -1.019149e-13 -2.367535e-30)	(-5.381429e-05 1.396007e-13 1.902667e-29)
8.000000e-01	bottomWall	(-4.262715e-05 -1.000784e-13 -2.582611e-30)	(-4.262715e-05 1.375074e-13 1.875377e-29)
8.100000e-01	bottomWall	(-3.152675e-05 -9.853683e-14 -2.754603e-30)	(-3.152674e-05 1.355860e-13 1.851288e-29)
8.200000e-01	bottomWall	(-2.051161e-05 -9.737231e-14 -2.885277e-30)	(-2.051160e-05 1.339401e-13 1.832133e-29)
8.300000e-01	bottomWall	(-9.578400e-06 -9.673307e-14 -2.988719e-30)	(-9.578391e-06 1.327433e-13 1.820889e-29)
8.400000e-01	bottomWall	(1.279085e-06 -1.820345e-13 -2.014170e-30)	(1.279094e-06 2.142278e-13 2.676585e-29)
8.500000e-01	bottomWall	(1.208588e-05 -1.040258e-13 -3.126587e-30)	(1.208589e-05 1.384566e-13 1.892096e-29)
8.600000e-01	bottomWall	(2.283128e-05 -1.003706e-13 -3.176728e-30)	(2.283128e-05 1.321237e-13 1.815462e-29)
8.700000e-01	bottomWall	(3.341698e-05 -9.548518e-14 -3.152431e-30)	(3.341699e-05 1.246462e-13 1.700015e-29)
8.800000e-01	bottomWall	(4.383968e-05 -9.404132e-14 -3.114732e-30)	(4.383969e-05 1.203120e-13 1.628234e-29)
8.900000e-01	bottomWall	(5.410487e-05 -9.338764e-14 -3.096778e-30)	(5.410488e-05 1.167849e-13 1.570285e-29)
9.000000e-01	bottomWall	(6.421912e-05 -9.161538e-14 -3.047802e-30)	(6.421913e-05 1.125651e-13 1.503703e-29)
9.100000e-01	bottomWall	(7.418935e-05 -8.859082e-14 -2.969463e-30)	(7.418936e-05 1.076712e-13 1.428418e-29)
9.200000e-01	bottomWall	(8.402284e-05 -8.909669e-14 -2.938339e-30)	(8.402284e-05 1.067362e-13 1.392729e-29)
9.300000e-01	bottomWall	(9.372733e-05 -9.009168e-14 -2.891127e-30)	(9.372734e-05 1.069498e-13 1.360491e-29)
9.400000e-01	bottomWall	(1.033112e-04 -8.588581e-14 -2.777361e-30)	(1.033112e-04 1.029864e-13 1.287059e-29)
