# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	4.108134e-01	4.108134e-01	4.108134e-01
0.02          	bottomWall	3.432857e-01	3.432857e-01	3.432857e-01
0.03          	bottomWall	3.747668e-01	3.747668e-01	3.747668e-01
0.04          	bottomWall	3.849828e-01	3.849828e-01	3.849828e-01
0.05          	bottomWall	3.865920e-01	3.865920e-01	3.865920e-01
0.06          	bottomWall	3.863228e-01	3.863228e-01	3.863228e-01
0.07          	bottomWall	3.851377e-01	3.851377e-01	3.851377e-01
0.08          	bottomWall	3.834366e-01	3.834366e-01	3.834366e-01
0.09          	bottomWall	3.814267e-01	3.814267e-01	3.814267e-01
0.1           	bottomWall	3.792269e-01	3.792269e-01	3.792269e-01
0.11          	bottomWall	3.769082e-01	3.769082e-01	3.769082e-01
0.12          	bottomWall	3.745144e-01	3.745144e-01	3.745144e-01
0.13          	bottomWall	3.720727e-01	3.720727e-01	3.720727e-01
0.14          	bottomWall	3.695996e-01	3.695996e-01	3.695996e-01
0.15          	bottomWall	3.671048e-01	3.671048e-01	3.671048e-01
0.16          	bottomWall	3.645939e-01	3.645939e-01	3.645939e-01
0.17          	bottomWall	3.620695e-01	3.620695e-01	3.620695e-01
0.18          	bottomWall	3.595321e-01	3.595321e-01	3.595321e-01
0.19          	bottomWall	3.569813e-01	3.569813e-01	3.569813e-01
0.2           	bottomWall	3.544157e-01	3.544157e-01	3.544157e-01
0.21          	bottomWall	3.518336e-01	3.518336e-01	3.518336e-01
0.22          	bottomWall	3.492327e-01	3.492327e-01	3.492327e-01
0.23          	bottomWall	3.466109e-01	3.466109e-01	3.466109e-01
0.24          	bottomWall	3.439658e-01	3.439658e-01	3.439658e-01
0.25          	bottomWall	3.412951e-01	3.412951e-01	3.412951e-01
0.26          	bottomWall	3.385964e-01	3.385964e-01	3.385964e-01
0.27          	bottomWall	3.358675e-01	3.358675e-01	3.358675e-01
0.28          	bottomWall	3.331063e-01	3.331063e-01	3.331063e-01
0.29          	bottomWall	3.303107e-01	3.303107e-01	3.303107e-01
0.3           	bottomWall	3.274785e-01	3.274785e-01	3.274785e-01
0.31          	bottomWall	3.246080e-01	3.246080e-01	3.246080e-01
0.32          	bottomWall	3.216973e-01	3.216973e-01	3.216973e-01
0.33          	bottomWall	3.187445e-01	3.187445e-01	3.187445e-01
0.34          	bottomWall	3.157481e-01	3.157481e-01	3.157481e-01
0.35          	bottomWall	3.127062e-01	3.127062e-01	3.127062e-01
0.36          	bottomWall	3.096173e-01	3.096173e-01	3.096173e-01
0.37          	bottomWall	3.064799e-01	3.064799e-01	3.064799e-01
0.38          	bottomWall	3.032925e-01	3.032925e-01	3.032925e-01
0.39          	bottomWall	3.000535e-01	3.000535e-01	3.000535e-01
0.4           	bottomWall	2.967614e-01	2.967614e-01	2.967614e-01
0.41          	bottomWall	2.934149e-01	2.934149e-01	2.934149e-01
0.42          	bottomWall	2.900124e-01	2.900124e-01	2.900124e-01
0.43          	bottomWall	2.865525e-01	2.865525e-01	2.865525e-01
0.44          	bottomWall	2.830337e-01	2.830337e-01	2.830337e-01
0.45          	bottomWall	2.794546e-01	2.794546e-01	2.794546e-01
0.46          	bottomWall	2.758135e-01	2.758135e-01	2.758135e-01
0.47          	bottomWall	2.721089e-01	2.721089e-01	2.721089e-01
0.48          	bottomWall	2.683392e-01	2.683392e-01	2.683392e-01
0.49          	bottomWall	2.645026e-01	2.645026e-01	2.645026e-01
0.5           	bottomWall	2.605974e-01	2.605974e-01	2.605974e-01
0.51          	bottomWall	2.566216e-01	2.566216e-01	2.566216e-01
0.52          	bottomWall	2.525733e-01	2.525733e-01	2.525733e-01
0.53          	bottomWall	2.484503e-01	2.484503e-01	2.484503e-01
0.54          	bottomWall	2.442502e-01	2.442502e-01	2.442502e-01
0.55          	bottomWall	2.399706e-01	2.399706e-01	2.399706e-01
0.56          	bottomWall	2.356088e-01	2.356088e-01	2.356088e-01
0.57          	bottomWall	2.311618e-01	2.311618e-01	2.311618e-01
0.58          	bottomWall	2.266264e-01	2.266264e-01	2.266264e-01
0.59          	bottomWall	2.219990e-01	2.219990e-01	2.219990e-01
0.6           	bottomWall	2.172755e-01	2.172755e-01	2.172755e-01
0.61          	bottomWall	2.124517e-01	2.124517e-01	2.124517e-01
0.62          	bottomWall	2.075224e-01	2.075224e-01	2.075224e-01
0.63          	bottomWall	2.024821e-01	2.024821e-01	2.024821e-01
0.64          	bottomWall	1.973245e-01	1.973245e-01	1.973245e-01
0.65          	bottomWall	1.920423e-01	1.920423e-01	1.920423e-01
0.66          	bottomWall	1.866272e-01	1.866272e-01	1.866272e-01
0.67          	bottomWall	1.810696e-01	1.810696e-01	1.810696e-01
0.68          	bottomWall	1.753582e-01	1.753582e-01	1.753582e-01
0.69          	bottomWall	1.694801e-01	1.694801e-01	1.694801e-01
0.7           	bottomWall	1.634195e-01	1.634195e-01	1.634195e-01
0.71          	bottomWall	1.571578e-01	1.571578e-01	1.571578e-01
0.72          	bottomWall	1.506723e-01	1.506723e-01	1.506723e-01
0.73          	bottomWall	1.439354e-01	1.439354e-01	1.439354e-01
0.74          	bottomWall	1.369121e-01	1.369121e-01	1.369121e-01
0.75          	bottomWall	1.295583e-01	1.295583e-01	1.295583e-01
0.76          	bottomWall	1.218163e-01	1.218163e-01	1.218163e-01
0.77          	bottomWall	1.136089e-01	1.136089e-01	1.136089e-01
0.78          	bottomWall	1.048285e-01	1.048285e-01	1.048285e-01
0.79          	bottomWall	9.531833e-02	9.531833e-02	9.531833e-02
0.8           	bottomWall	8.483415e-02	8.483416e-02	8.483415e-02
0.81          	bottomWall	7.295703e-02	7.295704e-02	7.295703e-02
0.82          	bottomWall	5.884742e-02	5.884743e-02	5.884742e-02
0.83          	bottomWall	4.021368e-02	4.021370e-02	4.021369e-02
0.84          	bottomWall	1.469526e-02	1.469531e-02	1.469531e-02
0.85          	bottomWall	4.517173e-02	4.517175e-02	4.517175e-02
0.86          	bottomWall	6.208586e-02	6.208587e-02	6.208587e-02
0.87          	bottomWall	7.511233e-02	7.511234e-02	7.511233e-02
0.88          	bottomWall	8.603225e-02	8.603225e-02	8.603225e-02
0.89          	bottomWall	9.557532e-02	9.557533e-02	9.557533e-02
0.9           	bottomWall	1.041261e-01	1.041261e-01	1.041261e-01
0.91          	bottomWall	1.119176e-01	1.119176e-01	1.119176e-01
0.92          	bottomWall	1.191040e-01	1.191040e-01	1.191040e-01
0.93          	bottomWall	1.257942e-01	1.257942e-01	1.257942e-01
0.94          	bottomWall	1.320691e-01	1.320691e-01	1.320691e-01
0.95          	bottomWall	1.379908e-01	1.379908e-01	1.379908e-01
0.96          	bottomWall	1.436085e-01	1.436085e-01	1.436085e-01
0.97          	bottomWall	1.489626e-01	1.489626e-01	1.489626e-01
0.98          	bottomWall	1.540863e-01	1.540863e-01	1.540863e-01
0.99          	bottomWall	1.590080e-01	1.590080e-01	1.590080e-01
1             	bottomWall	1.637518e-01	1.637518e-01	1.637518e-01
1.01          	bottomWall	1.683390e-01	1.683390e-01	1.683390e-01
1.02          	bottomWall	1.727879e-01	1.727879e-01	1.727879e-01
1.03          	bottomWall	1.771148e-01	1.771148e-01	1.771148e-01
1.04          	bottomWall	1.813343e-01	1.813343e-01	1.813343e-01
1.05          	bottomWall	1.854590e-01	1.854590e-01	1.854590e-01
1.06          	bottomWall	1.895006e-01	1.895006e-01	1.895006e-01
1.07          	bottomWall	1.934692e-01	1.934692e-01	1.934692e-01
1.08          	bottomWall	1.973738e-01	1.973738e-01	1.973738e-01
1.09          	bottomWall	2.012226e-01	2.012226e-01	2.012226e-01
1.1           	bottomWall	2.050226e-01	2.050226e-01	2.050226e-01
1.11          	bottomWall	2.087802e-01	2.087802e-01	2.087802e-01
1.12          	bottomWall	2.125008e-01	2.125009e-01	2.125009e-01
1.13          	bottomWall	2.161894e-01	2.161894e-01	2.161894e-01
1.14          	bottomWall	2.198499e-01	2.198499e-01	2.198499e-01
1.15          	bottomWall	2.234860e-01	2.234860e-01	2.234860e-01
1.16          	bottomWall	2.271007e-01	2.271007e-01	2.271007e-01
1.17          	bottomWall	2.306967e-01	2.306967e-01	2.306967e-01
1.18          	bottomWall	2.342759e-01	2.342759e-01	2.342759e-01
1.19          	bottomWall	2.378402e-01	2.378402e-01	2.378402e-01
1.2           	bottomWall	2.413910e-01	2.413910e-01	2.413910e-01
1.21          	bottomWall	2.449294e-01	2.449294e-01	2.449294e-01
1.22          	bottomWall	2.484563e-01	2.484563e-01	2.484563e-01
1.23          	bottomWall	2.519721e-01	2.519721e-01	2.519721e-01
1.24          	bottomWall	2.554775e-01	2.554775e-01	2.554775e-01
1.25          	bottomWall	2.589725e-01	2.589725e-01	2.589725e-01
1.26          	bottomWall	2.624574e-01	2.624574e-01	2.624574e-01
1.27          	bottomWall	2.659320e-01	2.659320e-01	2.659320e-01
1.28          	bottomWall	2.693963e-01	2.693963e-01	2.693963e-01
1.29          	bottomWall	2.728499e-01	2.728499e-01	2.728499e-01
1.3           	bottomWall	2.762926e-01	2.762926e-01	2.762926e-01
1.31          	bottomWall	2.797240e-01	2.797240e-01	2.797240e-01
1.32          	bottomWall	2.831437e-01	2.831437e-01	2.831437e-01
1.33          	bottomWall	2.865512e-01	2.865512e-01	2.865512e-01
1.34          	bottomWall	2.899460e-01	2.899460e-01	2.899460e-01
1.35          	bottomWall	2.933275e-01	2.933275e-01	2.933275e-01
1.36          	bottomWall	2.966953e-01	2.966953e-01	2.966953e-01
1.37          	bottomWall	3.000488e-01	3.000488e-01	3.000488e-01
1.38          	bottomWall	3.033873e-01	3.033873e-01	3.033873e-01
1.39          	bottomWall	3.067103e-01	3.067103e-01	3.067103e-01
1.4           	bottomWall	3.100172e-01	3.100172e-01	3.100172e-01
1.41          	bottomWall	3.133074e-01	3.133074e-01	3.133074e-01
1.42          	bottomWall	3.165804e-01	3.165804e-01	3.165804e-01
1.43          	bottomWall	3.198355e-01	3.198355e-01	3.198355e-01
1.44          	bottomWall	3.230721e-01	3.230721e-01	3.230721e-01
1.45          	bottomWall	3.262898e-01	3.262898e-01	3.262898e-01
1.46          	bottomWall	3.294878e-01	3.294878e-01	3.294878e-01
1.47          	bottomWall	3.326657e-01	3.326657e-01	3.326657e-01
1.48          	bottomWall	3.358229e-01	3.358229e-01	3.358229e-01
1.49          	bottomWall	3.389588e-01	3.389588e-01	3.389588e-01
1.5           	bottomWall	3.420729e-01	3.420729e-01	3.420729e-01
1.51          	bottomWall	3.451646e-01	3.451646e-01	3.451646e-01
1.52          	bottomWall	3.482335e-01	3.482335e-01	3.482335e-01
1.53          	bottomWall	3.512790e-01	3.512790e-01	3.512790e-01
1.54          	bottomWall	3.543007e-01	3.543007e-01	3.543007e-01
1.55          	bottomWall	3.572979e-01	3.572979e-01	3.572979e-01
1.56          	bottomWall	3.602703e-01	3.602703e-01	3.602703e-01
1.57          	bottomWall	3.632172e-01	3.632173e-01	3.632173e-01
1.58          	bottomWall	3.661384e-01	3.661384e-01	3.661384e-01
1.59          	bottomWall	3.690332e-01	3.690332e-01	3.690332e-01
1.6           	bottomWall	3.719013e-01	3.719013e-01	3.719013e-01
1.61          	bottomWall	3.747421e-01	3.747421e-01	3.747421e-01
1.62          	bottomWall	3.775553e-01	3.775553e-01	3.775553e-01
1.63          	bottomWall	3.803403e-01	3.803403e-01	3.803403e-01
1.64          	bottomWall	3.830968e-01	3.830968e-01	3.830968e-01
1.65          	bottomWall	3.858243e-01	3.858243e-01	3.858243e-01
1.66          	bottomWall	3.885224e-01	3.885224e-01	3.885224e-01
1.67          	bottomWall	3.911906e-01	3.911907e-01	3.911907e-01
1.68          	bottomWall	3.938287e-01	3.938287e-01	3.938287e-01
1.69          	bottomWall	3.964361e-01	3.964361e-01	3.964361e-01
1.7           	bottomWall	3.990125e-01	3.990125e-01	3.990125e-01
1.71          	bottomWall	4.015575e-01	4.015575e-01	4.015575e-01
1.72          	bottomWall	4.040706e-01	4.040706e-01	4.040706e-01
1.73          	bottomWall	4.065516e-01	4.065516e-01	4.065516e-01
1.74          	bottomWall	4.090000e-01	4.090000e-01	4.090000e-01
1.75          	bottomWall	4.114154e-01	4.114154e-01	4.114154e-01
1.76          	bottomWall	4.137975e-01	4.137975e-01	4.137975e-01
1.77          	bottomWall	4.161459e-01	4.161459e-01	4.161459e-01
1.78          	bottomWall	4.184603e-01	4.184603e-01	4.184603e-01
1.79          	bottomWall	4.207403e-01	4.207403e-01	4.207403e-01
1.8           	bottomWall	4.229856e-01	4.229856e-01	4.229856e-01
1.81          	bottomWall	4.251957e-01	4.251957e-01	4.251957e-01
1.82          	bottomWall	4.273705e-01	4.273705e-01	4.273705e-01
1.83          	bottomWall	4.295094e-01	4.295094e-01	4.295094e-01
1.84          	bottomWall	4.316122e-01	4.316122e-01	4.316122e-01
1.85          	bottomWall	4.336786e-01	4.336786e-01	4.336786e-01
1.86          	bottomWall	4.357082e-01	4.357082e-01	4.357082e-01
1.87          	bottomWall	4.377008e-01	4.377008e-01	4.377008e-01
1.88          	bottomWall	4.396559e-01	4.396559e-01	4.396559e-01
1.89          	bottomWall	4.415732e-01	4.415732e-01	4.415732e-01
1.9           	bottomWall	4.434526e-01	4.434526e-01	4.434526e-01
1.91          	bottomWall	4.452936e-01	4.452936e-01	4.452936e-01
1.92          	bottomWall	4.470959e-01	4.470959e-01	4.470959e-01
1.93          	bottomWall	4.488592e-01	4.488592e-01	4.488592e-01
1.94          	bottomWall	4.505833e-01	4.505833e-01	4.505833e-01
1.95          	bottomWall	4.522678e-01	4.522679e-01	4.522679e-01
1.96          	bottomWall	4.539125e-01	4.539125e-01	4.539125e-01
1.97          	bottomWall	4.555171e-01	4.555171e-01	4.555171e-01
1.98          	bottomWall	4.570812e-01	4.570812e-01	4.570812e-01
1.99          	bottomWall	4.586046e-01	4.586046e-01	4.586046e-01
2             	bottomWall	4.600870e-01	4.600870e-01	4.600870e-01
2.01          	bottomWall	4.615281e-01	4.615281e-01	4.615281e-01
2.02          	bottomWall	4.629277e-01	4.629277e-01	4.629277e-01
2.03          	bottomWall	4.642855e-01	4.642855e-01	4.642855e-01
2.04          	bottomWall	4.656011e-01	4.656011e-01	4.656011e-01
2.05          	bottomWall	4.668745e-01	4.668745e-01	4.668745e-01
2.06          	bottomWall	4.681052e-01	4.681052e-01	4.681052e-01
2.07          	bottomWall	4.692931e-01	4.692931e-01	4.692931e-01
2.08          	bottomWall	4.704378e-01	4.704378e-01	4.704378e-01
2.09          	bottomWall	4.715392e-01	4.715392e-01	4.715392e-01
2.1           	bottomWall	4.725969e-01	4.725969e-01	4.725969e-01
2.11          	bottomWall	4.736108e-01	4.736108e-01	4.736108e-01
2.12          	bottomWall	4.745805e-01	4.745805e-01	4.745805e-01
2.13          	bottomWall	4.755059e-01	4.755059e-01	4.755059e-01
2.14          	bottomWall	4.763867e-01	4.763867e-01	4.763867e-01
2.15          	bottomWall	4.772226e-01	4.772226e-01	4.772226e-01
2.16          	bottomWall	4.780135e-01	4.780135e-01	4.780135e-01
2.17          	bottomWall	4.787591e-01	4.787591e-01	4.787591e-01
2.18          	bottomWall	4.794592e-01	4.794592e-01	4.794592e-01
2.19          	bottomWall	4.801135e-01	4.801135e-01	4.801135e-01
2.2           	bottomWall	4.807219e-01	4.807219e-01	4.807219e-01
2.21          	bottomWall	4.812841e-01	4.812841e-01	4.812841e-01
2.22          	bottomWall	4.817998e-01	4.817998e-01	4.817998e-01
2.23          	bottomWall	4.822690e-01	4.822690e-01	4.822690e-01
2.24          	bottomWall	4.826914e-01	4.826914e-01	4.826914e-01
2.25          	bottomWall	4.830667e-01	4.830667e-01	4.830667e-01
2.26          	bottomWall	4.833947e-01	4.833947e-01	4.833947e-01
2.27          	bottomWall	4.836754e-01	4.836754e-01	4.836754e-01
2.28          	bottomWall	4.839084e-01	4.839084e-01	4.839084e-01
2.29          	bottomWall	4.840936e-01	4.840936e-01	4.840936e-01
2.3           	bottomWall	4.842307e-01	4.842307e-01	4.842307e-01
2.31          	bottomWall	4.843196e-01	4.843196e-01	4.843196e-01
2.32          	bottomWall	4.843602e-01	4.843602e-01	4.843602e-01
2.33          	bottomWall	4.843521e-01	4.843521e-01	4.843521e-01
2.34          	bottomWall	4.842953e-01	4.842953e-01	4.842953e-01
2.35          	bottomWall	4.841895e-01	4.841895e-01	4.841895e-01
2.36          	bottomWall	4.840345e-01	4.840345e-01	4.840345e-01
2.37          	bottomWall	4.838303e-01	4.838303e-01	4.838303e-01
2.38          	bottomWall	4.835765e-01	4.835765e-01	4.835765e-01
2.39          	bottomWall	4.832731e-01	4.832731e-01	4.832731e-01
2.4           	bottomWall	4.829199e-01	4.829199e-01	4.829199e-01
2.41          	bottomWall	4.825166e-01	4.825166e-01	4.825166e-01
2.42          	bottomWall	4.820632e-01	4.820632e-01	4.820632e-01
2.43          	bottomWall	4.815594e-01	4.815594e-01	4.815594e-01
2.44          	bottomWall	4.810051e-01	4.810051e-01	4.810051e-01
2.45          	bottomWall	4.804001e-01	4.804001e-01	4.804001e-01
2.46          	bottomWall	4.797443e-01	4.797443e-01	4.797443e-01
2.47          	bottomWall	4.790374e-01	4.790374e-01	4.790374e-01
2.48          	bottomWall	4.782794e-01	4.782794e-01	4.782794e-01
2.49          	bottomWall	4.774700e-01	4.774700e-01	4.774700e-01
2.5           	bottomWall	4.766090e-01	4.766090e-01	4.766090e-01
2.51          	bottomWall	4.756964e-01	4.756964e-01	4.756964e-01
2.52          	bottomWall	4.747318e-01	4.747318e-01	4.747318e-01
2.53          	bottomWall	4.737151e-01	4.737151e-01	4.737151e-01
2.54          	bottomWall	4.726462e-01	4.726462e-01	4.726462e-01
2.55          	bottomWall	4.715248e-01	4.715248e-01	4.715248e-01
2.56          	bottomWall	4.703506e-01	4.703506e-01	4.703506e-01
2.57          	bottomWall	4.691236e-01	4.691236e-01	4.691236e-01
2.58          	bottomWall	4.678434e-01	4.678434e-01	4.678434e-01
2.59          	bottomWall	4.665098e-01	4.665098e-01	4.665098e-01
2.6           	bottomWall	4.651227e-01	4.651227e-01	4.651227e-01
2.61          	bottomWall	4.636816e-01	4.636816e-01	4.636816e-01
2.62          	bottomWall	4.621863e-01	4.621863e-01	4.621863e-01
2.63          	bottomWall	4.606366e-01	4.606366e-01	4.606366e-01
2.64          	bottomWall	4.590321e-01	4.590321e-01	4.590321e-01
2.65          	bottomWall	4.573725e-01	4.573725e-01	4.573725e-01
2.66          	bottomWall	4.556575e-01	4.556575e-01	4.556575e-01
2.67          	bottomWall	4.538868e-01	4.538868e-01	4.538868e-01
2.68          	bottomWall	4.520599e-01	4.520599e-01	4.520599e-01
2.69          	bottomWall	4.501764e-01	4.501764e-01	4.501764e-01
2.7           	bottomWall	4.482361e-01	4.482361e-01	4.482361e-01
2.71          	bottomWall	4.462384e-01	4.462384e-01	4.462384e-01
2.72          	bottomWall	4.441829e-01	4.441829e-01	4.441829e-01
2.73          	bottomWall	4.420692e-01	4.420692e-01	4.420692e-01
2.74          	bottomWall	4.398968e-01	4.398968e-01	4.398968e-01
2.75          	bottomWall	4.376652e-01	4.376652e-01	4.376652e-01
2.76          	bottomWall	4.353740e-01	4.353740e-01	4.353740e-01
2.77          	bottomWall	4.330225e-01	4.330225e-01	4.330225e-01
2.78          	bottomWall	4.306103e-01	4.306103e-01	4.306103e-01
2.79          	bottomWall	4.281369e-01	4.281369e-01	4.281369e-01
2.8           	bottomWall	4.256016e-01	4.256016e-01	4.256016e-01
2.81          	bottomWall	4.230038e-01	4.230038e-01	4.230038e-01
2.82          	bottomWall	4.203429e-01	4.203429e-01	4.203429e-01
2.83          	bottomWall	4.176184e-01	4.176184e-01	4.176184e-01
2.84          	bottomWall	4.148295e-01	4.148295e-01	4.148295e-01
2.85          	bottomWall	4.119755e-01	4.119755e-01	4.119755e-01
2.86          	bottomWall	4.090558e-01	4.090558e-01	4.090558e-01
2.87          	bottomWall	4.060695e-01	4.060695e-01	4.060695e-01
2.88          	bottomWall	4.030160e-01	4.030160e-01	4.030160e-01
2.89          	bottomWall	3.998944e-01	3.998944e-01	3.998944e-01
2.9           	bottomWall	3.967039e-01	3.967039e-01	3.967039e-01
2.91          	bottomWall	3.934436e-01	3.934436e-01	3.934436e-01
2.92          	bottomWall	3.901126e-01	3.901126e-01	3.901126e-01
2.93          	bottomWall	3.867098e-01	3.867098e-01	3.867098e-01
2.94          	bottomWall	3.832344e-01	3.832344e-01	3.832344e-01
2.95          	bottomWall	3.796852e-01	3.796852e-01	3.796852e-01
2.96          	bottomWall	3.760610e-01	3.760610e-01	3.760610e-01
2.97          	bottomWall	3.723607e-01	3.723607e-01	3.723607e-01
2.98          	bottomWall	3.685831e-01	3.685831e-01	3.685831e-01
2.99          	bottomWall	3.647266e-01	3.647266e-01	3.647266e-01
3             	bottomWall	3.607900e-01	3.607900e-01	3.607900e-01
3.01          	bottomWall	3.567716e-01	3.567716e-01	3.567716e-01
3.02          	bottomWall	3.526698e-01	3.526698e-01	3.526698e-01
3.03          	bottomWall	3.484828e-01	3.484828e-01	3.484828e-01
3.04          	bottomWall	3.442088e-01	3.442088e-01	3.442088e-01
3.05          	bottomWall	3.398456e-01	3.398456e-01	3.398456e-01
