# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	3.597471e-01	3.597471e-01	3.597471e-01
0.02          	bottomWall	3.029602e-01	3.029602e-01	3.029602e-01
0.03          	bottomWall	3.648178e-01	3.648178e-01	3.648178e-01
0.04          	bottomWall	3.816697e-01	3.816697e-01	3.816697e-01
0.05          	bottomWall	3.896769e-01	3.896769e-01	3.896769e-01
0.06          	bottomWall	3.936998e-01	3.936998e-01	3.936998e-01
0.07          	bottomWall	3.954740e-01	3.954740e-01	3.954740e-01
0.08          	bottomWall	3.958432e-01	3.958432e-01	3.958432e-01
0.09          	bottomWall	3.952896e-01	3.952896e-01	3.952896e-01
0.1           	bottomWall	3.941154e-01	3.941154e-01	3.941154e-01
0.11          	bottomWall	3.925198e-01	3.925198e-01	3.925198e-01
0.12          	bottomWall	3.906377e-01	3.906377e-01	3.906377e-01
0.13          	bottomWall	3.885617e-01	3.885617e-01	3.885617e-01
0.14          	bottomWall	3.863561e-01	3.863561e-01	3.863561e-01
0.15          	bottomWall	3.840654e-01	3.840654e-01	3.840654e-01
0.16          	bottomWall	3.817208e-01	3.817208e-01	3.817208e-01
0.17          	bottomWall	3.793437e-01	3.793437e-01	3.793437e-01
0.18          	bottomWall	3.769488e-01	3.769488e-01	3.769488e-01
0.19          	bottomWall	3.745460e-01	3.745460e-01	3.745460e-01
0.2           	bottomWall	3.721421e-01	3.721421e-01	3.721421e-01
0.21          	bottomWall	3.697409e-01	3.697409e-01	3.697409e-01
0.22          	bottomWall	3.673451e-01	3.673451e-01	3.673451e-01
0.23          	bottomWall	3.649557e-01	3.649557e-01	3.649557e-01
0.24          	bottomWall	3.625730e-01	3.625730e-01	3.625730e-01
0.25          	bottomWall	3.601967e-01	3.601967e-01	3.601967e-01
0.26          	bottomWall	3.578261e-01	3.578261e-01	3.578261e-01
0.27          	bottomWall	3.554602e-01	3.554602e-01	3.554602e-01
0.28          	bottomWall	3.530977e-01	3.530977e-01	3.530977e-01
0.29          	bottomWall	3.507373e-01	3.507373e-01	3.507373e-01
0.3           	bottomWall	3.483776e-01	3.483776e-01	3.483776e-01
0.31          	bottomWall	3.460173e-01	3.460173e-01	3.460173e-01
0.32          	bottomWall	3.436548e-01	3.436548e-01	3.436548e-01
0.33          	bottomWall	3.412889e-01	3.412889e-01	3.412889e-01
0.34          	bottomWall	3.389181e-01	3.389181e-01	3.389181e-01
0.35          	bottomWall	3.365411e-01	3.365411e-01	3.365411e-01
0.36          	bottomWall	3.341566e-01	3.341566e-01	3.341566e-01
0.37          	bottomWall	3.317635e-01	3.317635e-01	3.317635e-01
0.38          	bottomWall	3.293606e-01	3.293606e-01	3.293606e-01
0.39          	bottomWall	3.269466e-01	3.269466e-01	3.269466e-01
0.4           	bottomWall	3.245206e-01	3.245206e-01	3.245206e-01
0.41          	bottomWall	3.220816e-01	3.220816e-01	3.220816e-01
0.42          	bottomWall	3.196284e-01	3.196284e-01	3.196284e-01
0.43          	bottomWall	3.171603e-01	3.171603e-01	3.171603e-01
