# Wall shear stress
# Time        	patch         	min           	max           
1.000000e-02	bottomWall	(-1.292700e-03 -1.494886e-16 -5.025709e-35)	(-1.292700e-03 -1.494886e-16 -5.025709e-35)
2.000000e-02	bottomWall	(-9.109586e-04 -1.831292e-16 -5.918012e-35)	(-9.109586e-04 -1.831292e-16 -5.918012e-35)
3.000000e-02	bottomWall	(-1.205571e-03 -5.668583e-16 -1.461057e-34)	(-1.205571e-03 -5.668583e-16 -1.461057e-34)
4.000000e-02	bottomWall	(-1.295653e-03 -8.162652e-16 -1.865119e-34)	(-1.295653e-03 -8.162652e-16 -1.865119e-34)
5.000000e-02	bottomWall	(-1.335001e-03 -9.898214e-16 -2.038318e-34)	(-1.335001e-03 -9.898214e-16 -2.038318e-34)
6.000000e-02	bottomWall	(-1.353536e-03 -1.276742e-15 -2.470499e-34)	(-1.353536e-03 -1.276742e-15 -2.470499e-34)
7.000000e-02	bottomWall	(-1.360112e-03 -1.369990e-15 -2.435851e-34)	(-1.360112e-03 -1.369990e-15 -2.435851e-34)
8.000000e-02	bottomWall	(-1.359206e-03 -1.489098e-15 -2.659060e-34)	(-1.359206e-03 -1.489098e-15 -2.659060e-34)
9.000000e-02	bottomWall	(-1.353427e-03 -1.542333e-15 -2.714153e-34)	(-1.353427e-03 -1.542333e-15 -2.714153e-34)
1.000000e-01	bottomWall	(-1.344413e-03 -1.478967e-15 -2.604059e-34)	(-1.344413e-03 -1.478967e-15 -2.604059e-34)
1.100000e-01	bottomWall	(-1.333238e-03 -1.577352e-15 -2.809051e-34)	(-1.333238e-03 -1.577352e-15 -2.809051e-34)
1.200000e-01	bottomWall	(-1.320626e-03 -1.651516e-15 -2.936416e-34)	(-1.320626e-03 -1.651516e-15 -2.936416e-34)
1.300000e-01	bottomWall	(-1.307069e-03 -1.660452e-15 -2.845214e-34)	(-1.307069e-03 -1.660452e-15 -2.845214e-34)
1.400000e-01	bottomWall	(-1.292908e-03 -1.542508e-15 -2.763947e-34)	(-1.292908e-03 -1.542508e-15 -2.763947e-34)
1.500000e-01	bottomWall	(-1.278378e-03 -1.655341e-15 -2.909732e-34)	(-1.278378e-03 -1.655341e-15 -2.909732e-34)
1.600000e-01	bottomWall	(-1.263639e-03 -1.756612e-15 -3.141493e-34)	(-1.263639e-03 -1.756612e-15 -3.141493e-34)
1.700000e-01	bottomWall	(-1.248805e-03 -1.743248e-15 -2.961370e-34)	(-1.248805e-03 -1.743248e-15 -2.961370e-34)
1.800000e-01	bottomWall	(-1.233949e-03 -1.792013e-15 -3.172406e-34)	(-1.233949e-03 -1.792013e-15 -3.172406e-34)
1.900000e-01	bottomWall	(-1.219124e-03 -1.917193e-15 -3.412138e-34)	(-1.219124e-03 -1.917193e-15 -3.412138e-34)
2.000000e-01	bottomWall	(-1.204360e-03 -1.803175e-15 -3.206309e-34)	(-1.204360e-03 -1.803175e-15 -3.206309e-34)
2.100000e-01	bottomWall	(-1.189678e-03 -1.761257e-15 -3.205725e-34)	(-1.189678e-03 -1.761257e-15 -3.205725e-34)
2.200000e-01	bottomWall	(-1.175090e-03 -1.868188e-15 -3.396530e-34)	(-1.175090e-03 -1.868188e-15 -3.396530e-34)
2.300000e-01	bottomWall	(-1.160599e-03 -1.824003e-15 -3.314761e-34)	(-1.160599e-03 -1.824003e-15 -3.314761e-34)
2.400000e-01	bottomWall	(-1.146205e-03 -1.844623e-15 -3.378066e-34)	(-1.146205e-03 -1.844623e-15 -3.378066e-34)
2.500000e-01	bottomWall	(-1.131907e-03 -2.066343e-15 -3.796511e-34)	(-1.131907e-03 -2.066343e-15 -3.796511e-34)
2.600000e-01	bottomWall	(-1.117699e-03 -1.976201e-15 -3.531859e-34)	(-1.117699e-03 -1.976201e-15 -3.531859e-34)
2.700000e-01	bottomWall	(-1.103576e-03 -1.848726e-15 -3.314793e-34)	(-1.103576e-03 -1.848726e-15 -3.314793e-34)
2.800000e-01	bottomWall	(-1.089530e-03 -1.764732e-15 -3.208233e-34)	(-1.089530e-03 -1.764732e-15 -3.208233e-34)
2.900000e-01	bottomWall	(-1.075555e-03 -1.370904e-15 -2.523400e-34)	(-1.075555e-03 -1.370904e-15 -2.523400e-34)
3.000000e-01	bottomWall	(-1.061644e-03 -1.104399e-15 -1.946822e-34)	(-1.061644e-03 -1.104399e-15 -1.946822e-34)
3.100000e-01	bottomWall	(-1.047789e-03 -1.255437e-15 -2.364063e-34)	(-1.047789e-03 -1.255437e-15 -2.364063e-34)
3.200000e-01	bottomWall	(-1.033983e-03 -9.820013e-16 -1.909303e-34)	(-1.033983e-03 -9.820013e-16 -1.909303e-34)
3.300000e-01	bottomWall	(-1.020220e-03 -8.784843e-16 -1.661987e-34)	(-1.020220e-03 -8.784843e-16 -1.661987e-34)
3.400000e-01	bottomWall	(-1.006494e-03 -9.046909e-16 -1.731093e-34)	(-1.006494e-03 -9.046909e-16 -1.731093e-34)
3.500000e-01	bottomWall	(-9.927987e-04 -8.823580e-16 -1.662135e-34)	(-9.927987e-04 -8.823580e-16 -1.662135e-34)
3.600000e-01	bottomWall	(-9.791290e-04 -7.633056e-16 -1.318899e-34)	(-9.791290e-04 -7.633056e-16 -1.318899e-34)
3.700000e-01	bottomWall	(-9.654799e-04 3.521787e-16 6.295029e-35)	(-9.654799e-04 3.521787e-16 6.295029e-35)
3.800000e-01	bottomWall	(-9.518470e-04 1.365738e-15 2.608351e-34)	(-9.518470e-04 1.365738e-15 2.608351e-34)
3.900000e-01	bottomWall	(-9.382260e-04 2.061126e-15 3.965984e-34)	(-9.382260e-04 2.061126e-15 3.965984e-34)
4.000000e-01	bottomWall	(-9.246134e-04 2.694006e-15 5.050407e-34)	(-9.246134e-04 2.694006e-15 5.050407e-34)
