# Wall shear stress
# Time        	patch         	min           	max           
1.000000e-02	bottomWall	(-9.722323e-04 -4.532601e-15 -2.239716e-34)	(-9.722323e-04 -4.532601e-15 -2.239716e-34)
2.000000e-02	bottomWall	(-6.878031e-04 -8.469132e-15 -4.190011e-34)	(-6.878031e-04 -8.469132e-15 -4.190011e-34)
3.000000e-02	bottomWall	(-8.255508e-04 -1.683314e-14 -7.327905e-34)	(-8.255508e-04 -1.683314e-14 -7.327905e-34)
4.000000e-02	bottomWall	(-8.739306e-04 -2.392597e-14 -9.857190e-34)	(-8.739306e-04 -2.392597e-14 -9.857190e-34)
5.000000e-02	bottomWall	(-8.887933e-04 -2.928357e-14 -1.188406e-33)	(-8.887933e-04 -2.928357e-14 -1.188406e-33)
6.000000e-02	bottomWall	(-8.937175e-04 -3.384276e-14 -1.338739e-33)	(-8.937175e-04 -3.384276e-14 -1.338739e-33)
7.000000e-02	bottomWall	(-8.929142e-04 -3.816475e-14 -1.510048e-33)	(-8.929142e-04 -3.816475e-14 -1.510048e-33)
8.000000e-02	bottomWall	(-8.885440e-04 -4.168440e-14 -1.637899e-33)	(-8.885440e-04 -4.168440e-14 -1.637899e-33)
9.000000e-02	bottomWall	(-8.818715e-04 -4.496292e-14 -1.756239e-33)	(-8.818715e-04 -4.496292e-14 -1.756239e-33)
1.000000e-01	bottomWall	(-8.736822e-04 -4.800641e-14 -1.862122e-33)	(-8.736822e-04 -4.800641e-14 -1.862122e-33)
1.100000e-01	bottomWall	(-8.644812e-04 -5.065006e-14 -1.955750e-33)	(-8.644812e-04 -5.065006e-14 -1.955750e-33)
1.200000e-01	bottomWall	(-8.545998e-04 -5.303953e-14 -2.039656e-33)	(-8.545998e-04 -5.303953e-14 -2.039656e-33)
1.300000e-01	bottomWall	(-8.442586e-04 -5.479719e-14 -2.089865e-33)	(-8.442586e-04 -5.479719e-14 -2.089865e-33)
1.400000e-01	bottomWall	(-8.336049e-04 -5.662165e-14 -2.147349e-33)	(-8.336049e-04 -5.662165e-14 -2.147349e-33)
