# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	2.762366e-01	2.762366e-01	2.762366e-01
0.02          	bottomWall	2.323423e-01	2.323423e-01	2.323423e-01
0.03          	bottomWall	2.545471e-01	2.545471e-01	2.545471e-01
0.04          	bottomWall	2.618995e-01	2.618995e-01	2.618995e-01
0.05          	bottomWall	2.641171e-01	2.641171e-01	2.641171e-01
0.06          	bottomWall	2.648478e-01	2.648478e-01	2.648478e-01
0.07          	bottomWall	2.647287e-01	2.647287e-01	2.647287e-01
0.08          	bottomWall	2.640801e-01	2.640801e-01	2.640801e-01
0.09          	bottomWall	2.630867e-01	2.630867e-01	2.630867e-01
0.1           	bottomWall	2.618623e-01	2.618623e-01	2.618623e-01
0.11          	bottomWall	2.604797e-01	2.604797e-01	2.604797e-01
0.12          	bottomWall	2.589868e-01	2.589868e-01	2.589868e-01
0.13          	bottomWall	2.574150e-01	2.574150e-01	2.574150e-01
0.14          	bottomWall	2.557857e-01	2.557857e-01	2.557857e-01
0.15          	bottomWall	2.541130e-01	2.541130e-01	2.541130e-01
0.16          	bottomWall	2.524063e-01	2.524063e-01	2.524063e-01
0.17          	bottomWall	2.506718e-01	2.506718e-01	2.506718e-01
0.18          	bottomWall	2.489133e-01	2.489133e-01	2.489133e-01
0.19          	bottomWall	2.471333e-01	2.471333e-01	2.471333e-01
0.2           	bottomWall	2.453330e-01	2.453330e-01	2.453330e-01
0.21          	bottomWall	2.435127e-01	2.435127e-01	2.435127e-01
0.22          	bottomWall	2.416725e-01	2.416725e-01	2.416725e-01
0.23          	bottomWall	2.398119e-01	2.398119e-01	2.398119e-01
0.24          	bottomWall	2.379302e-01	2.379302e-01	2.379302e-01
0.25          	bottomWall	2.360266e-01	2.360266e-01	2.360266e-01
0.26          	bottomWall	2.341001e-01	2.341001e-01	2.341001e-01
0.27          	bottomWall	2.321498e-01	2.321498e-01	2.321498e-01
0.28          	bottomWall	2.301745e-01	2.301745e-01	2.301745e-01
0.29          	bottomWall	2.281732e-01	2.281732e-01	2.281732e-01
0.3           	bottomWall	2.261448e-01	2.261448e-01	2.261448e-01
0.31          	bottomWall	2.240883e-01	2.240883e-01	2.240883e-01
0.32          	bottomWall	2.220027e-01	2.220027e-01	2.220027e-01
0.33          	bottomWall	2.198869e-01	2.198869e-01	2.198869e-01
0.34          	bottomWall	2.177399e-01	2.177399e-01	2.177399e-01
0.35          	bottomWall	2.155607e-01	2.155607e-01	2.155607e-01
0.36          	bottomWall	2.133484e-01	2.133484e-01	2.133484e-01
0.37          	bottomWall	2.111021e-01	2.111021e-01	2.111021e-01
0.38          	bottomWall	2.088207e-01	2.088207e-01	2.088207e-01
0.39          	bottomWall	2.065034e-01	2.065034e-01	2.065034e-01
0.4           	bottomWall	2.041492e-01	2.041492e-01	2.041492e-01
0.41          	bottomWall	2.017572e-01	2.017572e-01	2.017572e-01
0.42          	bottomWall	1.993265e-01	1.993265e-01	1.993265e-01
0.43          	bottomWall	1.968562e-01	1.968562e-01	1.968562e-01
0.44          	bottomWall	1.943452e-01	1.943452e-01	1.943452e-01
0.45          	bottomWall	1.917925e-01	1.917925e-01	1.917925e-01
0.46          	bottomWall	1.891973e-01	1.891973e-01	1.891973e-01
0.47          	bottomWall	1.865583e-01	1.865583e-01	1.865583e-01
0.48          	bottomWall	1.838746e-01	1.838746e-01	1.838746e-01
0.49          	bottomWall	1.811450e-01	1.811450e-01	1.811450e-01
0.5           	bottomWall	1.783681e-01	1.783681e-01	1.783681e-01
0.51          	bottomWall	1.755429e-01	1.755429e-01	1.755429e-01
0.52          	bottomWall	1.726677e-01	1.726677e-01	1.726677e-01
0.53          	bottomWall	1.697413e-01	1.697413e-01	1.697413e-01
0.54          	bottomWall	1.667619e-01	1.667619e-01	1.667619e-01
0.55          	bottomWall	1.637277e-01	1.637277e-01	1.637277e-01
0.56          	bottomWall	1.606370e-01	1.606370e-01	1.606370e-01
0.57          	bottomWall	1.574875e-01	1.574875e-01	1.574875e-01
0.58          	bottomWall	1.542769e-01	1.542769e-01	1.542769e-01
0.59          	bottomWall	1.510026e-01	1.510026e-01	1.510026e-01
0.6           	bottomWall	1.476618e-01	1.476618e-01	1.476618e-01
0.61          	bottomWall	1.442511e-01	1.442511e-01	1.442511e-01
0.62          	bottomWall	1.407670e-01	1.407670e-01	1.407670e-01
0.63          	bottomWall	1.372053e-01	1.372053e-01	1.372053e-01
0.64          	bottomWall	1.335612e-01	1.335612e-01	1.335612e-01
0.65          	bottomWall	1.298294e-01	1.298294e-01	1.298294e-01
0.66          	bottomWall	1.260034e-01	1.260034e-01	1.260034e-01
0.67          	bottomWall	1.220761e-01	1.220761e-01	1.220761e-01
0.68          	bottomWall	1.180388e-01	1.180388e-01	1.180388e-01
0.69          	bottomWall	1.138814e-01	1.138814e-01	1.138814e-01
0.7           	bottomWall	1.095918e-01	1.095918e-01	1.095918e-01
0.71          	bottomWall	1.051551e-01	1.051551e-01	1.051551e-01
0.72          	bottomWall	1.005535e-01	1.005535e-01	1.005535e-01
0.73          	bottomWall	9.576447e-02	9.576447e-02	9.576447e-02
0.74          	bottomWall	9.075967e-02	9.075967e-02	9.075967e-02
0.75          	bottomWall	8.550233e-02	8.550233e-02	8.550233e-02
0.76          	bottomWall	7.994354e-02	7.994354e-02	7.994354e-02
0.77          	bottomWall	7.401605e-02	7.401605e-02	7.401605e-02
0.78          	bottomWall	6.762312e-02	6.762312e-02	6.762312e-02
0.79          	bottomWall	6.061716e-02	6.061716e-02	6.061716e-02
0.8           	bottomWall	5.275281e-02	5.275281e-02	5.275281e-02
0.81          	bottomWall	4.356389e-02	4.356389e-02	4.356389e-02
0.82          	bottomWall	3.191757e-02	3.191757e-02	3.191757e-02
0.83          	bottomWall	1.202661e-02	1.202661e-02	1.202661e-02
0.84          	bottomWall	2.694649e-02	2.694649e-02	2.694649e-02
0.85          	bottomWall	3.997940e-02	3.997940e-02	3.997940e-02
0.86          	bottomWall	4.950709e-02	4.950709e-02	4.950709e-02
0.87          	bottomWall	5.732369e-02	5.732369e-02	5.732369e-02
0.88          	bottomWall	6.406980e-02	6.406980e-02	6.406980e-02
0.89          	bottomWall	7.006406e-02	7.006406e-02	7.006406e-02
0.9           	bottomWall	7.549271e-02	7.549271e-02	7.549271e-02
0.91          	bottomWall	8.047615e-02	8.047615e-02	8.047615e-02
0.92          	bottomWall	8.509796e-02	8.509796e-02	8.509796e-02
0.93          	bottomWall	8.941927e-02	8.941927e-02	8.941927e-02
0.94          	bottomWall	9.348662e-02	9.348662e-02	9.348662e-02
0.95          	bottomWall	9.733668e-02	9.733668e-02	9.733668e-02
0.96          	bottomWall	1.009991e-01	1.009991e-01	1.009991e-01
0.97          	bottomWall	1.044983e-01	1.044983e-01	1.044983e-01
0.98          	bottomWall	1.078550e-01	1.078550e-01	1.078550e-01
0.99          	bottomWall	1.110869e-01	1.110869e-01	1.110869e-01
1             	bottomWall	1.142091e-01	1.142091e-01	1.142091e-01
1.01          	bottomWall	1.172351e-01	1.172351e-01	1.172351e-01
1.02          	bottomWall	1.201766e-01	1.201766e-01	1.201766e-01
1.03          	bottomWall	1.230441e-01	1.230441e-01	1.230441e-01
1.04          	bottomWall	1.258467e-01	1.258467e-01	1.258467e-01
1.05          	bottomWall	1.285928e-01	1.285928e-01	1.285928e-01
1.06          	bottomWall	1.312897e-01	1.312897e-01	1.312897e-01
1.07          	bottomWall	1.339439e-01	1.339439e-01	1.339439e-01
1.08          	bottomWall	1.365611e-01	1.365611e-01	1.365611e-01
1.09          	bottomWall	1.391467e-01	1.391467e-01	1.391467e-01
1.1           	bottomWall	1.417049e-01	1.417049e-01	1.417049e-01
1.11          	bottomWall	1.442399e-01	1.442399e-01	1.442399e-01
1.12          	bottomWall	1.467550e-01	1.467550e-01	1.467550e-01
1.13          	bottomWall	1.492531e-01	1.492531e-01	1.492531e-01
1.14          	bottomWall	1.517369e-01	1.517369e-01	1.517369e-01
1.15          	bottomWall	1.542085e-01	1.542085e-01	1.542085e-01
1.16          	bottomWall	1.566696e-01	1.566696e-01	1.566696e-01
1.17          	bottomWall	1.591218e-01	1.591218e-01	1.591218e-01
1.18          	bottomWall	1.615662e-01	1.615662e-01	1.615662e-01
1.19          	bottomWall	1.640038e-01	1.640038e-01	1.640038e-01
1.2           	bottomWall	1.664354e-01	1.664354e-01	1.664354e-01
1.21          	bottomWall	1.688613e-01	1.688613e-01	1.688613e-01
1.22          	bottomWall	1.712821e-01	1.712821e-01	1.712821e-01
1.23          	bottomWall	1.736980e-01	1.736980e-01	1.736980e-01
1.24          	bottomWall	1.761089e-01	1.761089e-01	1.761089e-01
1.25          	bottomWall	1.785150e-01	1.785150e-01	1.785150e-01
1.26          	bottomWall	1.809161e-01	1.809161e-01	1.809161e-01
1.27          	bottomWall	1.833120e-01	1.833120e-01	1.833120e-01
1.28          	bottomWall	1.857025e-01	1.857025e-01	1.857025e-01
1.29          	bottomWall	1.880873e-01	1.880873e-01	1.880873e-01
1.3           	bottomWall	1.904660e-01	1.904660e-01	1.904660e-01
1.31          	bottomWall	1.928383e-01	1.928383e-01	1.928383e-01
1.32          	bottomWall	1.952037e-01	1.952037e-01	1.952037e-01
1.33          	bottomWall	1.975618e-01	1.975618e-01	1.975618e-01
1.34          	bottomWall	1.999122e-01	1.999122e-01	1.999122e-01
1.35          	bottomWall	2.022544e-01	2.022544e-01	2.022544e-01
1.36          	bottomWall	2.045879e-01	2.045879e-01	2.045879e-01
1.37          	bottomWall	2.069123e-01	2.069123e-01	2.069123e-01
1.38          	bottomWall	2.092271e-01	2.092271e-01	2.092271e-01
1.39          	bottomWall	2.115318e-01	2.115318e-01	2.115318e-01
1.4           	bottomWall	2.138260e-01	2.138260e-01	2.138260e-01
1.41          	bottomWall	2.161091e-01	2.161091e-01	2.161091e-01
1.42          	bottomWall	2.183807e-01	2.183807e-01	2.183807e-01
1.43          	bottomWall	2.206404e-01	2.206404e-01	2.206404e-01
1.44          	bottomWall	2.228877e-01	2.228877e-01	2.228877e-01
1.45          	bottomWall	2.251220e-01	2.251220e-01	2.251220e-01
1.46          	bottomWall	2.273431e-01	2.273431e-01	2.273431e-01
1.47          	bottomWall	2.295505e-01	2.295505e-01	2.295505e-01
1.48          	bottomWall	2.317436e-01	2.317436e-01	2.317436e-01
1.49          	bottomWall	2.339222e-01	2.339222e-01	2.339222e-01
1.5           	bottomWall	2.360858e-01	2.360858e-01	2.360858e-01
1.51          	bottomWall	2.382339e-01	2.382339e-01	2.382339e-01
1.52          	bottomWall	2.403663e-01	2.403663e-01	2.403663e-01
1.53          	bottomWall	2.424824e-01	2.424824e-01	2.424824e-01
1.54          	bottomWall	2.445819e-01	2.445819e-01	2.445819e-01
1.55          	bottomWall	2.466645e-01	2.466645e-01	2.466645e-01
1.56          	bottomWall	2.487297e-01	2.487297e-01	2.487297e-01
1.57          	bottomWall	2.507772e-01	2.507772e-01	2.507772e-01
1.58          	bottomWall	2.528066e-01	2.528066e-01	2.528066e-01
1.59          	bottomWall	2.548176e-01	2.548176e-01	2.548176e-01
1.6           	bottomWall	2.568098e-01	2.568098e-01	2.568098e-01
1.61          	bottomWall	2.587829e-01	2.587829e-01	2.587829e-01
1.62          	bottomWall	2.607366e-01	2.607366e-01	2.607366e-01
1.63          	bottomWall	2.626704e-01	2.626704e-01	2.626704e-01
1.64          	bottomWall	2.645842e-01	2.645842e-01	2.645842e-01
1.65          	bottomWall	2.664775e-01	2.664775e-01	2.664775e-01
1.66          	bottomWall	2.683501e-01	2.683501e-01	2.683501e-01
1.67          	bottomWall	2.702016e-01	2.702016e-01	2.702016e-01
1.68          	bottomWall	2.720317e-01	2.720317e-01	2.720317e-01
1.69          	bottomWall	2.738402e-01	2.738402e-01	2.738402e-01
1.7           	bottomWall	2.756267e-01	2.756267e-01	2.756267e-01
1.71          	bottomWall	2.773909e-01	2.773909e-01	2.773909e-01
1.72          	bottomWall	2.791326e-01	2.791326e-01	2.791326e-01
1.73          	bottomWall	2.808515e-01	2.808515e-01	2.808515e-01
1.74          	bottomWall	2.825472e-01	2.825472e-01	2.825472e-01
1.75          	bottomWall	2.842195e-01	2.842195e-01	2.842195e-01
1.76          	bottomWall	2.858682e-01	2.858682e-01	2.858682e-01
1.77          	bottomWall	2.874929e-01	2.874929e-01	2.874929e-01
1.78          	bottomWall	2.890934e-01	2.890934e-01	2.890934e-01
1.79          	bottomWall	2.906695e-01	2.906695e-01	2.906695e-01
1.8           	bottomWall	2.922208e-01	2.922208e-01	2.922208e-01
1.81          	bottomWall	2.937471e-01	2.937471e-01	2.937471e-01
1.82          	bottomWall	2.952481e-01	2.952481e-01	2.952481e-01
1.83          	bottomWall	2.967237e-01	2.967237e-01	2.967237e-01
1.84          	bottomWall	2.981735e-01	2.981735e-01	2.981735e-01
1.85          	bottomWall	2.995973e-01	2.995973e-01	2.995973e-01
1.86          	bottomWall	3.009948e-01	3.009948e-01	3.009948e-01
1.87          	bottomWall	3.023659e-01	3.023659e-01	3.023659e-01
1.88          	bottomWall	3.037103e-01	3.037103e-01	3.037103e-01
1.89          	bottomWall	3.050277e-01	3.050277e-01	3.050277e-01
