# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	2.762366e-01	2.762366e-01	2.762366e-01
0.02          	bottomWall	2.323423e-01	2.323423e-01	2.323423e-01
0.03          	bottomWall	2.546486e-01	2.546486e-01	2.546486e-01
0.04          	bottomWall	2.620583e-01	2.620583e-01	2.620583e-01
0.05          	bottomWall	2.643252e-01	2.643252e-01	2.643252e-01
0.06          	bottomWall	2.650981e-01	2.650981e-01	2.650981e-01
0.07          	bottomWall	2.650167e-01	2.650167e-01	2.650167e-01
0.08          	bottomWall	2.644023e-01	2.644023e-01	2.644023e-01
0.09          	bottomWall	2.634403e-01	2.634403e-01	2.634403e-01
0.1           	bottomWall	2.622450e-01	2.622450e-01	2.622450e-01
0.11          	bottomWall	2.608897e-01	2.608897e-01	2.608897e-01
0.12          	bottomWall	2.594222e-01	2.594222e-01	2.594222e-01
0.13          	bottomWall	2.578745e-01	2.578745e-01	2.578745e-01
0.14          	bottomWall	2.562679e-01	2.562679e-01	2.562679e-01
0.15          	bottomWall	2.546167e-01	2.546167e-01	2.546167e-01
0.16          	bottomWall	2.529304e-01	2.529304e-01	2.529304e-01
0.17          	bottomWall	2.512152e-01	2.512152e-01	2.512152e-01
0.18          	bottomWall	2.494752e-01	2.494752e-01	2.494752e-01
0.19          	bottomWall	2.477127e-01	2.477127e-01	2.477127e-01
0.2           	bottomWall	2.459289e-01	2.459289e-01	2.459289e-01
0.21          	bottomWall	2.441244e-01	2.441244e-01	2.441244e-01
0.22          	bottomWall	2.422991e-01	2.422991e-01	2.422991e-01
0.23          	bottomWall	2.404526e-01	2.404526e-01	2.404526e-01
0.24          	bottomWall	2.385842e-01	2.385842e-01	2.385842e-01
0.25          	bottomWall	2.366932e-01	2.366932e-01	2.366932e-01
0.26          	bottomWall	2.347785e-01	2.347785e-01	2.347785e-01
0.27          	bottomWall	2.328391e-01	2.328391e-01	2.328391e-01
0.28          	bottomWall	2.308741e-01	2.308741e-01	2.308741e-01
0.29          	bottomWall	2.288822e-01	2.288822e-01	2.288822e-01
0.3           	bottomWall	2.268626e-01	2.268626e-01	2.268626e-01
0.31          	bottomWall	2.248140e-01	2.248140e-01	2.248140e-01
0.32          	bottomWall	2.227355e-01	2.227355e-01	2.227355e-01
0.33          	bottomWall	2.206260e-01	2.206260e-01	2.206260e-01
0.34          	bottomWall	2.184846e-01	2.184846e-01	2.184846e-01
0.35          	bottomWall	2.163102e-01	2.163102e-01	2.163102e-01
0.36          	bottomWall	2.141018e-01	2.141018e-01	2.141018e-01
0.37          	bottomWall	2.118586e-01	2.118586e-01	2.118586e-01
0.38          	bottomWall	2.095796e-01	2.095796e-01	2.095796e-01
0.39          	bottomWall	2.072637e-01	2.072637e-01	2.072637e-01
0.4           	bottomWall	2.049102e-01	2.049102e-01	2.049102e-01
0.41          	bottomWall	2.025180e-01	2.025180e-01	2.025180e-01
0.42          	bottomWall	2.000862e-01	2.000862e-01	2.000862e-01
0.43          	bottomWall	1.976138e-01	1.976138e-01	1.976138e-01
0.44          	bottomWall	1.950999e-01	1.950999e-01	1.950999e-01
0.45          	bottomWall	1.925434e-01	1.925434e-01	1.925434e-01
0.46          	bottomWall	1.899434e-01	1.899434e-01	1.899434e-01
0.47          	bottomWall	1.872988e-01	1.872988e-01	1.872988e-01
0.48          	bottomWall	1.846083e-01	1.846083e-01	1.846083e-01
0.49          	bottomWall	1.818710e-01	1.818710e-01	1.818710e-01
0.5           	bottomWall	1.790855e-01	1.790855e-01	1.790855e-01
0.51          	bottomWall	1.762504e-01	1.762504e-01	1.762504e-01
0.52          	bottomWall	1.733645e-01	1.733645e-01	1.733645e-01
0.53          	bottomWall	1.704261e-01	1.704261e-01	1.704261e-01
0.54          	bottomWall	1.674336e-01	1.674336e-01	1.674336e-01
0.55          	bottomWall	1.643852e-01	1.643852e-01	1.643852e-01
0.56          	bottomWall	1.612791e-01	1.612791e-01	1.612791e-01
0.57          	bottomWall	1.581129e-01	1.581129e-01	1.581129e-01
0.58          	bottomWall	1.548844e-01	1.548844e-01	1.548844e-01
0.59          	bottomWall	1.515909e-01	1.515909e-01	1.515909e-01
0.6           	bottomWall	1.482294e-01	1.482294e-01	1.482294e-01
0.61          	bottomWall	1.447967e-01	1.447967e-01	1.447967e-01
0.62          	bottomWall	1.412890e-01	1.412890e-01	1.412890e-01
0.63          	bottomWall	1.377022e-01	1.377022e-01	1.377022e-01
0.64          	bottomWall	1.340313e-01	1.340313e-01	1.340313e-01
0.65          	bottomWall	1.302709e-01	1.302709e-01	1.302709e-01
0.66          	bottomWall	1.264146e-01	1.264146e-01	1.264146e-01
0.67          	bottomWall	1.224548e-01	1.224548e-01	1.224548e-01
0.68          	bottomWall	1.183830e-01	1.183830e-01	1.183830e-01
0.69          	bottomWall	1.141886e-01	1.141886e-01	1.141886e-01
0.7           	bottomWall	1.098593e-01	1.098593e-01	1.098593e-01
0.71          	bottomWall	1.053800e-01	1.053800e-01	1.053800e-01
0.72          	bottomWall	1.007325e-01	1.007325e-01	1.007325e-01
0.73          	bottomWall	9.589369e-02	9.589369e-02	9.589369e-02
0.74          	bottomWall	9.083450e-02	9.083450e-02	9.083450e-02
0.75          	bottomWall	8.551719e-02	8.551719e-02	8.551719e-02
0.76          	bottomWall	7.989139e-02	7.989139e-02	7.989139e-02
0.77          	bottomWall	7.388761e-02	7.388761e-02	7.388761e-02
0.78          	bottomWall	6.740552e-02	6.740552e-02	6.740552e-02
0.79          	bottomWall	6.029104e-02	6.029104e-02	6.029104e-02
0.8           	bottomWall	5.228577e-02	5.228577e-02	5.228577e-02
0.81          	bottomWall	4.289115e-02	4.289115e-02	4.289115e-02
0.82          	bottomWall	3.085660e-02	3.085660e-02	3.085660e-02
0.83          	bottomWall	8.394666e-03	8.394666e-03	8.394666e-03
0.84          	bottomWall	2.839906e-02	2.839906e-02	2.839906e-02
0.85          	bottomWall	4.101189e-02	4.101189e-02	4.101189e-02
0.86          	bottomWall	5.039832e-02	5.039832e-02	5.039832e-02
0.87          	bottomWall	5.815604e-02	5.815604e-02	5.815604e-02
0.88          	bottomWall	6.488106e-02	6.488106e-02	6.488106e-02
0.89          	bottomWall	7.087489e-02	7.087489e-02	7.087489e-02
0.9           	bottomWall	7.631564e-02	7.631564e-02	7.631564e-02
0.91          	bottomWall	8.131934e-02	8.131934e-02	8.131934e-02
0.92          	bottomWall	8.596699e-02	8.596699e-02	8.596699e-02
0.93          	bottomWall	9.031805e-02	9.031805e-02	9.031805e-02
0.94          	bottomWall	9.441801e-02	9.441801e-02	9.441801e-02
0.95          	bottomWall	9.830276e-02	9.830276e-02	9.830276e-02
0.96          	bottomWall	1.020014e-01	1.020014e-01	1.020014e-01
0.97          	bottomWall	1.055380e-01	1.055380e-01	1.055380e-01
0.98          	bottomWall	1.089330e-01	1.089330e-01	1.089330e-01
0.99          	bottomWall	1.122037e-01	1.122037e-01	1.122037e-01
1             	bottomWall	1.153653e-01	1.153653e-01	1.153653e-01
1.01          	bottomWall	1.184310e-01	1.184310e-01	1.184310e-01
1.02          	bottomWall	1.214125e-01	1.214125e-01	1.214125e-01
1.03          	bottomWall	1.243200e-01	1.243200e-01	1.243200e-01
1.04          	bottomWall	1.271628e-01	1.271628e-01	1.271628e-01
1.05          	bottomWall	1.299490e-01	1.299490e-01	1.299490e-01
1.06          	bottomWall	1.326859e-01	1.326859e-01	1.326859e-01
1.07          	bottomWall	1.353801e-01	1.353801e-01	1.353801e-01
1.08          	bottomWall	1.380372e-01	1.380372e-01	1.380372e-01
1.09          	bottomWall	1.406624e-01	1.406624e-01	1.406624e-01
1.1           	bottomWall	1.432601e-01	1.432601e-01	1.432601e-01
1.11          	bottomWall	1.458342e-01	1.458342e-01	1.458342e-01
1.12          	bottomWall	1.483882e-01	1.483882e-01	1.483882e-01
1.13          	bottomWall	1.509250e-01	1.509250e-01	1.509250e-01
1.14          	bottomWall	1.534471e-01	1.534471e-01	1.534471e-01
1.15          	bottomWall	1.559566e-01	1.559566e-01	1.559566e-01
1.16          	bottomWall	1.584554e-01	1.584554e-01	1.584554e-01
1.17          	bottomWall	1.609449e-01	1.609449e-01	1.609449e-01
1.18          	bottomWall	1.634263e-01	1.634263e-01	1.634263e-01
1.19          	bottomWall	1.659005e-01	1.659005e-01	1.659005e-01
1.2           	bottomWall	1.683683e-01	1.683683e-01	1.683683e-01
1.21          	bottomWall	1.708301e-01	1.708301e-01	1.708301e-01
1.22          	bottomWall	1.732865e-01	1.732865e-01	1.732865e-01
1.23          	bottomWall	1.757375e-01	1.757375e-01	1.757375e-01
1.24          	bottomWall	1.781834e-01	1.781834e-01	1.781834e-01
1.25          	bottomWall	1.806240e-01	1.806240e-01	1.806240e-01
1.26          	bottomWall	1.830593e-01	1.830593e-01	1.830593e-01
1.27          	bottomWall	1.854892e-01	1.854892e-01	1.854892e-01
1.28          	bottomWall	1.879133e-01	1.879133e-01	1.879133e-01
1.29          	bottomWall	1.903313e-01	1.903313e-01	1.903313e-01
1.3           	bottomWall	1.927431e-01	1.927431e-01	1.927431e-01
1.31          	bottomWall	1.951481e-01	1.951481e-01	1.951481e-01
1.32          	bottomWall	1.975459e-01	1.975459e-01	1.975459e-01
1.33          	bottomWall	1.999362e-01	1.999362e-01	1.999362e-01
1.34          	bottomWall	2.023186e-01	2.023186e-01	2.023186e-01
1.35          	bottomWall	2.046924e-01	2.046924e-01	2.046924e-01
1.36          	bottomWall	2.070574e-01	2.070574e-01	2.070574e-01
1.37          	bottomWall	2.094130e-01	2.094130e-01	2.094130e-01
1.38          	bottomWall	2.117588e-01	2.117588e-01	2.117588e-01
1.39          	bottomWall	2.140943e-01	2.140943e-01	2.140943e-01
1.4           	bottomWall	2.164190e-01	2.164190e-01	2.164190e-01
1.41          	bottomWall	2.187324e-01	2.187324e-01	2.187324e-01
1.42          	bottomWall	2.210342e-01	2.210342e-01	2.210342e-01
1.43          	bottomWall	2.233238e-01	2.233238e-01	2.233238e-01
1.44          	bottomWall	2.256008e-01	2.256008e-01	2.256008e-01
1.45          	bottomWall	2.278647e-01	2.278647e-01	2.278647e-01
1.46          	bottomWall	2.301151e-01	2.301151e-01	2.301151e-01
1.47          	bottomWall	2.323516e-01	2.323516e-01	2.323516e-01
1.48          	bottomWall	2.345737e-01	2.345737e-01	2.345737e-01
1.49          	bottomWall	2.367811e-01	2.367811e-01	2.367811e-01
1.5           	bottomWall	2.389732e-01	2.389732e-01	2.389732e-01
1.51          	bottomWall	2.411498e-01	2.411498e-01	2.411498e-01
1.52          	bottomWall	2.433104e-01	2.433104e-01	2.433104e-01
1.53          	bottomWall	2.454545e-01	2.454545e-01	2.454545e-01
1.54          	bottomWall	2.475819e-01	2.475819e-01	2.475819e-01
1.55          	bottomWall	2.496922e-01	2.496922e-01	2.496922e-01
1.56          	bottomWall	2.517849e-01	2.517849e-01	2.517849e-01
1.57          	bottomWall	2.538597e-01	2.538597e-01	2.538597e-01
1.58          	bottomWall	2.559163e-01	2.559163e-01	2.559163e-01
1.59          	bottomWall	2.579543e-01	2.579543e-01	2.579543e-01
1.6           	bottomWall	2.599733e-01	2.599733e-01	2.599733e-01
1.61          	bottomWall	2.619730e-01	2.619730e-01	2.619730e-01
1.62          	bottomWall	2.639531e-01	2.639531e-01	2.639531e-01
1.63          	bottomWall	2.659132e-01	2.659132e-01	2.659132e-01
1.64          	bottomWall	2.678530e-01	2.678530e-01	2.678530e-01
1.65          	bottomWall	2.697722e-01	2.697722e-01	2.697722e-01
1.66          	bottomWall	2.716705e-01	2.716705e-01	2.716705e-01
1.67          	bottomWall	2.735475e-01	2.735475e-01	2.735475e-01
1.68          	bottomWall	2.754030e-01	2.754030e-01	2.754030e-01
1.69          	bottomWall	2.772366e-01	2.772366e-01	2.772366e-01
1.7           	bottomWall	2.790480e-01	2.790480e-01	2.790480e-01
1.71          	bottomWall	2.808369e-01	2.808369e-01	2.808369e-01
1.72          	bottomWall	2.826031e-01	2.826031e-01	2.826031e-01
1.73          	bottomWall	2.843463e-01	2.843463e-01	2.843463e-01
1.74          	bottomWall	2.860661e-01	2.860661e-01	2.860661e-01
1.75          	bottomWall	2.877624e-01	2.877624e-01	2.877624e-01
1.76          	bottomWall	2.894347e-01	2.894347e-01	2.894347e-01
1.77          	bottomWall	2.910829e-01	2.910829e-01	2.910829e-01
1.78          	bottomWall	2.927066e-01	2.927066e-01	2.927066e-01
1.79          	bottomWall	2.943057e-01	2.943057e-01	2.943057e-01
1.8           	bottomWall	2.958798e-01	2.958798e-01	2.958798e-01
1.81          	bottomWall	2.974286e-01	2.974286e-01	2.974286e-01
1.82          	bottomWall	2.989520e-01	2.989520e-01	2.989520e-01
1.83          	bottomWall	3.004496e-01	3.004496e-01	3.004496e-01
1.84          	bottomWall	3.019212e-01	3.019212e-01	3.019212e-01
1.85          	bottomWall	3.033666e-01	3.033666e-01	3.033666e-01
1.86          	bottomWall	3.047856e-01	3.047856e-01	3.047856e-01
1.87          	bottomWall	3.061777e-01	3.061777e-01	3.061777e-01
1.88          	bottomWall	3.075430e-01	3.075430e-01	3.075430e-01
1.89          	bottomWall	3.088810e-01	3.088810e-01	3.088810e-01
